Strain,Energy
0.012,1e-05
0.024,0.0179036666801373
0.036,0.0653337146903173
0.048,0.1260828953113801
0.06,0.1861206609317648
0.072,0.2432241849370488
0.084,0.302147665504699
0.096,0.3650398954990597
0.108,0.4305540565363036
0.12,0.4979255144308462
0.132,0.5671171471176591
0.144,0.6383140953569851
0.156,0.7116158651671772
0.168,0.7870207458228576
0.18,0.8644772986761392
0.192,0.9439809179671244
0.204,1.0255645324181937
0.216,1.109271413505882
0.228,1.1951752152740238
0.24,1.2834777216666216
0.252,1.3744257484772913
0.264,1.4683329281656157
0.276,1.565578420846374
0.288,1.6664198385735032
0.3,1.7712101532845443
0.312,1.8804927679404424
0.324,1.9947762026721887
0.336,2.114550401561988
0.348,2.2402939166475844
0.36,2.372433557355146
0.372,2.5115409629720715
0.384,2.658104352735932
0.396,2.812620003592932
0.408,2.9755569793748244
0.42,3.147209705859357
0.432,3.32804468284835
0.444,3.518610918499735
0.456,3.7195688976761847
0.468,3.931570150640235
0.48,4.155083093286146
0.492,4.390940887752613
0.504,4.640543324390665
0.516,4.905269524106041
0.528,5.1861866161253065
0.54,5.484488318069165
0.552,5.80098874464337
0.5640000000000001,6.136040939524741
0.5760000000000001,6.490936813690408
0.588,6.868800687901891
0.6,7.27499263170465
