Strain,Energy
0.012,1e-05
0.024,0.0170280297686297
0.036,0.060151584601215
0.048,0.1132152839163625
0.06,0.1669920268302807
0.072,0.2205899202473103
0.084,0.2752294085195502
0.096,0.3319491179355716
0.108,0.3907870665185059
0.12,0.4518645362059465
0.132,0.5152340001286512
0.144,0.580975718350217
0.156,0.6491714070480814
0.168,0.719860486158126
0.18,0.7930408593192615
0.192,0.8686657912386339
0.204,0.9467010830897502
0.216,1.0271522537103364
0.228,1.1101681542893422
0.24,1.195792816580415
0.252,1.284026401626072
0.264,1.3750673903141393
0.276,1.469160464564068
0.288,1.56661071945939
0.3,1.667827216080664
0.312,1.773361615413761
0.324,1.8838092032091005
0.336,1.9996426367137257
0.348,2.121254562670352
0.36,2.249077764002937
0.372,2.3835849059167744
0.384,2.525558333023798
0.396,2.675486554035425
0.408,2.833601253101397
0.42,3.000355223745538
0.432,3.176034841395862
0.444,3.36103132854013
0.456,3.5559205148927977
0.468,3.7612303408112457
0.48,3.9773817650465286
0.492,4.205180805600241
0.504,4.445900689126665
0.516,4.700518852888674
0.528,4.969201593660888
0.54,5.2524313989832345
0.552,5.551610985149996
0.5640000000000001,5.868392674188002
0.5760000000000001,6.204293644240199
0.588,6.560664370578026
0.6,6.939803311305046
