Strain,Energy
0.012,1e-05
0.024,0.0001
0.036,0.0011967326974785
0.048,0.0043356374361214
0.06,0.0091297632763351
0.072,0.0149235124513332
0.084,0.0212940512319609
0.096,0.0280179271758218
0.108,0.0350958588978573
0.12,0.0424103195038224
0.132,0.0499050751310699
0.144,0.057602796631685
0.156,0.0655273870600793
0.168,0.0736211388548579
0.18,0.0818471453375048
0.192,0.0902358635941886
0.204,0.0987864991815038
0.216,0.1074556114421191
0.228,0.1162278235961093
0.24,0.1251177301643696
0.252,0.1342195685051329
0.264,0.1435821809524687
0.276,0.1531291781552345
0.288,0.1628872353997344
0.3,0.1729819707391829
0.312,0.183511943101083
0.324,0.1944719519445904
0.336,0.2059549986987032
0.348,0.2181384389298262
0.36,0.2309929253692824
0.372,0.2443477861159689
0.384,0.2581931048040274
0.396,0.272662888274085
0.408,0.2882448626297983
0.42,0.3051302216578803
0.432,0.3227426383570214
0.444,0.341106437563423
0.456,0.3598580174296429
0.468,0.3801158997323758
0.48,0.4030676166340408
0.492,0.428312847812967
0.504,0.456656045298687
0.516,0.4887663133882929
0.528,0.5256930768404854
0.54,0.5673576073765918
0.552,0.6134094901366692
0.5640000000000001,0.6666351554885563
0.5760000000000001,0.731736261815738
0.588,0.8123796654727197
0.6,0.9058322331665236
