Strain,Energy
0.012,1e-05
0.024,0.0152488006130759
0.036,0.0559224256671448
0.048,0.10983476455881
0.06,0.1671580676016429
0.072,0.2241703346299678
0.084,0.2813373700485352
0.096,0.3403606869090132
0.108,0.4014376062107694
0.12,0.4644004590374734
0.132,0.5289682499994718
0.144,0.5949290553195786
0.156,0.6622927791999097
0.168,0.7313232707474492
0.18,0.8023239055254577
0.192,0.8754371871806385
0.204,0.9506817307494788
0.216,1.028081510393104
0.228,1.1077709198653254
0.24,1.1899634865497537
0.252,1.2746885861975317
0.264,1.361959708980479
0.276,1.452026428165904
0.288,1.5451771530765557
0.3,1.6416528665948176
0.312,1.7417214933517056
0.324,1.8456709413033343
0.336,1.9538207959427127
0.348,2.066542698779884
0.36,2.184214154320385
0.372,2.3073254971002344
0.384,2.436404542046448
0.396,2.571892529430655
0.408,2.714334151478925
0.42,2.8644921554897
0.432,3.023069721321508
0.444,3.1903262745543004
0.456,3.366581466037971
0.468,3.552750434430568
0.48,3.749675525015295
0.492,3.957518524996309
0.504,4.176405059304788
0.516,4.407551263036816
0.528,4.653078284022532
0.54,4.914056961678677
0.552,5.189913721245301
0.5640000000000001,5.480634316776731
0.5760000000000001,5.787742203507747
0.588,6.113274276424665
0.6,6.458805550951657
