Strain,Energy
0.012,1e-05
0.024,0.0008030793810306
0.036,0.0066176635100785
0.048,0.0210463638934774
0.06,0.0417195698932036
0.072,0.065501020160781
0.084,0.0914897035237493
0.096,0.1191344606521
0.108,0.1482413465203223
0.12,0.1787536169506693
0.132,0.2104450211730285
0.144,0.2431448503057476
0.156,0.2767687436796617
0.168,0.3114574865836681
0.18,0.3473322984381615
0.192,0.3843546208304418
0.204,0.422669989595934
0.216,0.4624781057377846
0.228,0.5038773465349147
0.24,0.5467904821374627
0.252,0.5912608145427695
0.264,0.6375980867920936
0.276,0.6859721061153298
0.288,0.7362006013688551
0.3,0.7881939091866917
0.312,0.8422638349928099
0.324,0.8984227644826248
0.336,0.9565320172658104
0.348,1.0171193212044969
0.36,1.0809395573171288
0.372,1.1477189054714831
0.384,1.2172451649421907
0.396,1.2904335405961158
0.408,1.367706002467045
0.42,1.4493720340301937
0.432,1.5361788136151164
0.444,1.6276082188956529
0.456,1.723792603248869
0.468,1.826207454321209
0.48,1.9356977730752165
0.492,2.0527730582439614
0.504,2.177825426984924
0.516,2.311328995686112
0.528,2.452974391816233
0.54,2.6031110902037167
0.552,2.762836225041938
0.5640000000000001,2.93086384270754
0.5760000000000001,3.1064862342103496
0.588,3.294765102336734
0.6,3.501869303871106
