Strain,Energy
0.012,1e-05
0.024,0.0020591975547477
0.036,0.0101631340144504
0.048,0.0255800925214213
0.06,0.0454484844409701
0.072,0.0671077081219159
0.084,0.0898866066789918
0.096,0.1134622617747879
0.108,0.1375817760573623
0.12,0.1621103014516847
0.132,0.1871595053253541
0.144,0.2128968950963063
0.156,0.2394115436780883
0.168,0.2666756590528165
0.18,0.2945972869258488
0.192,0.3231577396190994
0.204,0.3524102146015854
0.216,0.3823942641439788
0.228,0.4131465610798663
0.24,0.4447464323572085
0.252,0.4773758785467848
0.264,0.5112423930113879
0.276,0.5463928495854012
0.288,0.5827452809611221
0.3,0.6204089773440734
0.312,0.6595778202484819
0.324,0.700155407688177
0.336,0.7420090719812842
0.348,0.7853320641013397
0.36,0.8306299154513264
0.372,0.8783933257537083
0.384,0.9286190831398052
0.396,0.981468041631507
0.408,1.0374536199046092
0.42,1.0967999967057287
0.432,1.1596718502543792
0.444,1.2264797108083607
0.456,1.2979774877733097
0.468,1.3745102105077152
0.48,1.4567675360989574
0.492,1.5460793364510717
0.504,1.6432655552688928
0.516,1.7488585310857367
0.528,1.8634158107496304
0.54,1.9844340579293045
0.552,2.1118269172429023
0.5640000000000001,2.2486135702254506
0.5760000000000001,2.3952885032030915
0.588,2.5530591268666885
0.6,2.721573025952924
