Strain,Energy
0.012,1e-05
0.024,0.0001836911275321
0.036,0.0012464981175099
0.048,0.0037845985466221
0.06,0.0075146517773394
0.072,0.011760690616711
0.084,0.0161701164566579
0.096,0.0207194417816313
0.108,0.0254041581403841
0.12,0.0302254756384587
0.132,0.0352311186745548
0.144,0.040382461422981
0.156,0.0456337568322484
0.168,0.0509771628004866
0.18,0.056407263981207
0.192,0.0619347387792691
0.204,0.0675459592188629
0.216,0.0732421867043198
0.228,0.0790372553464382
0.24,0.0849725414345541
0.252,0.0910408700271609
0.264,0.0972186645063211
0.276,0.1035402153930361
0.288,0.110030686348355
0.3,0.1168376369462956
0.312,0.1239764518189165
0.324,0.1313703918895818
0.336,0.1390714750656463
0.348,0.1470509865135238
0.36,0.1552392111006734
0.372,0.1636465990939838
0.384,0.1723019675620664
0.396,0.1812223940562062
0.408,0.1905058120609232
0.42,0.2002443604400482
0.432,0.2104927530548654
0.444,0.221369757692984
0.456,0.233011031991766
0.468,0.245485306272761
0.48,0.2590769063097934
0.492,0.274204184207606
0.504,0.2911701279002124
0.516,0.3102398808830222
0.528,0.3310577331137699
0.54,0.3555233692348216
0.552,0.3855487780570527
0.5640000000000001,0.4211435432297653
0.5760000000000001,0.4627109681981969
0.588,0.5093312541185965
0.6,0.5605382173885904
