Strain,Energy
0.012,1e-05
0.024,0.0048093220252402
0.036,0.0194741105571739
0.048,0.0421759675387738
0.06,0.068818513802981
0.072,0.0975423428605644
0.084,0.1280692129821776
0.096,0.1598285350276999
0.108,0.192633712839445
0.12,0.2264757386026257
0.132,0.2613971870315189
0.144,0.2973027009589054
0.156,0.334294091315084
0.168,0.3724823922209172
0.18,0.4118248580375411
0.192,0.4523638775780214
0.204,0.4941212126901267
0.216,0.5372439004878695
0.228,0.5819048110918605
0.24,0.6281619409023143
0.252,0.6759628356704354
0.264,0.7252523296912478
0.276,0.7760778215338098
0.288,0.8285569502199773
0.3,0.8828492928729877
0.312,0.939509233460293
0.324,0.99885070190328
0.336,1.0607885662877403
0.348,1.125481148110299
0.36,1.1931288787267669
0.372,1.2640963470956004
0.384,1.3390164248125431
0.396,1.4183392707888896
0.408,1.5024077281836496
0.42,1.5919656574346257
0.432,1.6879390276680923
0.444,1.79099175894248
0.456,1.9015906779129688
0.468,2.020288893692474
0.48,2.1476413969633663
0.492,2.284139773928969
0.504,2.430401711259853
0.516,2.5872785312691104
0.528,2.7549859732007507
0.54,2.933142093130863
0.552,3.121587150037159
0.5640000000000001,3.321096156169195
0.5760000000000001,3.533035386977885
0.588,3.7580814389259807
0.6,3.997246389093281
