Strain,Energy
0.012,1e-05
0.024,0.0053606609625988
0.036,0.0215860423290237
0.048,0.0460361177306772
0.06,0.0732413055060624
0.072,0.1008503333607485
0.084,0.1287289347020926
0.096,0.1571159679677023
0.108,0.1867099769339509
0.12,0.2174755765771306
0.132,0.2494341311777027
0.144,0.2826481967904226
0.156,0.3171394736036064
0.168,0.3529420445563824
0.18,0.390072849270498
0.192,0.4285522013761734
0.204,0.4684555245275544
0.216,0.5098546544412167
0.228,0.5527964209420063
0.24,0.5973222848268791
0.252,0.6435355593176927
0.264,0.6915860659706062
0.276,0.741613742126352
0.288,0.7937522917278992
0.3,0.8480581409979585
0.312,0.9047256490059884
0.324,0.9641961120857456
0.336,1.026930359882173
0.348,1.0933317479450957
0.36,1.1637579217396663
0.372,1.2386034360670155
0.384,1.318467447891773
0.396,1.4034571331518346
0.408,1.4934441929715927
0.42,1.5888791089565724
0.432,1.6902947604480352
0.444,1.7978712620030135
0.456,1.911482461773714
0.468,2.031490646490845
0.48,2.158045264193793
0.492,2.291393311700452
0.504,2.432950372010556
0.516,2.583957942905819
0.528,2.74406802738382
0.54,2.912222454655335
0.552,3.088369614483099
0.5640000000000001,3.2732566219510777
0.5760000000000001,3.467945463959797
0.588,3.673561403910508
0.6,3.890645101284576
