Strain,Energy
0.012,1e-05
0.024,0.0011560649646836
0.036,0.0076801257430372
0.048,0.0227857124760223
0.06,0.0444254237658049
0.072,0.0699607386614011
0.084,0.0982746714313557
0.096,0.1283062928693766
0.108,0.1599404144265471
0.12,0.1932585670992743
0.132,0.2277880277377437
0.144,0.2634486719708312
0.156,0.3004252086100267
0.168,0.3390671450348865
0.18,0.3794634965592142
0.192,0.4212337329016273
0.204,0.4642732884553883
0.216,0.5085145043938688
0.228,0.5541157330564933
0.24,0.6013772800258665
0.252,0.6503059147264197
0.264,0.7009624130864861
0.276,0.7535744809809082
0.288,0.8081793096166521
0.3,0.8647575947141514
0.312,0.9233294886570372
0.324,0.9842740105297354
0.336,1.0479435624132465
0.348,1.1143024346889243
0.36,1.1834998689898517
0.372,1.2558132543659148
0.384,1.331449654610771
0.396,1.4108298136672148
0.408,1.4945675136940662
0.42,1.5830385548864203
0.432,1.67654629576029
0.444,1.7757197353751235
0.456,1.8808115617230827
0.468,1.991979497961142
0.48,2.109804283162227
0.492,2.234902180226704
0.504,2.367880857648664
0.516,2.509013651462481
0.528,2.658820078426789
0.54,2.817546956140472
0.552,2.9861558964821704
0.5640000000000001,3.16652433372658
0.5760000000000001,3.3591079599319293
0.588,3.563131681282449
0.6,3.778490659648226
