Strain,Energy
0.012,1e-05
0.024,0.0009801676109893
0.036,0.0058739107155704
0.048,0.0163899902841867
0.06,0.0303657895097603
0.072,0.0453268343005967
0.084,0.0606970002277132
0.096,0.0764229361474816
0.108,0.0924348048356706
0.12,0.1087779891082525
0.132,0.1256346277145193
0.144,0.1430856647032851
0.156,0.1610734539490619
0.168,0.1795511098285928
0.18,0.19853671990272
0.192,0.2180743621483823
0.204,0.2381895562827076
0.216,0.2589006601863343
0.228,0.2802443987946605
0.24,0.3022708862621029
0.252,0.3249985759880419
0.264,0.3484497671267642
0.276,0.3726802901609971
0.288,0.3977539906591394
0.3,0.4238087980834018
0.312,0.450958369584146
0.324,0.4792452886351151
0.336,0.508763371698247
0.348,0.5396187667925676
0.36,0.5718424544745516
0.372,0.6053490350815118
0.384,0.6402216668260169
0.396,0.6767210187486913
0.408,0.7153206550069127
0.42,0.7564882730727368
0.432,0.8002806037856384
0.444,0.8467769210155748
0.456,0.8965768067132024
0.468,0.9503547484296156
0.48,1.0084870878984105
0.492,1.0713422666900767
0.504,1.139279139188463
0.516,1.212749300620217
0.528,1.2929010870975493
0.54,1.3817386524195412
0.552,1.479868246638458
0.5640000000000001,1.587443452544649
0.5760000000000001,1.7056915018612266
0.588,1.8348554045178829
0.6,1.9737623505587631
