Strain,Energy
0.012,1e-05
0.024,0.014262998050974
0.036,0.0499659375501168
0.048,0.0935226050728798
0.06,0.1383228495650225
0.072,0.1843019301071453
0.084,0.2316038275124071
0.096,0.2805310875645135
0.108,0.3313159239509371
0.12,0.3840083081177277
0.132,0.4386512793053183
0.144,0.4953489748815139
0.156,0.5540666409422413
0.168,0.6147622681853889
0.18,0.6774336979883355
0.192,0.7420045079431292
0.204,0.8084765480312812
0.216,0.8768694454887759
0.228,0.947223791136896
0.24,1.019692000807059
0.252,1.0944834625247806
0.264,1.1719121937691246
0.276,1.252374886575625
0.288,1.3361691210732447
0.3,1.4237408030870131
0.312,1.5158407798953393
0.324,1.6129234020320609
0.336,1.7151950439140635
0.348,1.8230119855303688
0.36,1.9367426857910472
0.372,2.056905330723174
0.384,2.184140261975947
0.396,2.3187694673800125
0.408,2.461040081469425
0.42,2.611510891683692
0.432,2.770703710431766
0.444,2.938849239322437
0.456,3.1165800937841497
0.468,3.305052308766926
0.48,3.505138154200264
0.492,3.717353240182983
0.504,3.942078899618696
0.516,4.179785655980734
0.528,4.431229253376158
0.54,4.696597715557215
0.552,4.976456709766285
0.5640000000000001,5.272310510446093
0.5760000000000001,5.58543338554189
0.588,5.917279461895008
0.6,6.269991189750439
