Strain,Energy
0.012,1e-05
0.024,0.0056572970584601
0.036,0.0209978666462351
0.048,0.0420377887478187
0.06,0.0655401712213016
0.072,0.0900398480340787
0.084,0.1151284402608473
0.096,0.1410277876800849
0.108,0.1678023997113136
0.12,0.1954870947845295
0.132,0.2241321492557397
0.144,0.2538265523991696
0.156,0.2848373030758425
0.168,0.3173207632017106
0.18,0.3510666401699281
0.192,0.3858796059305627
0.204,0.4217222588877478
0.216,0.4585623630975346
0.228,0.4964210954308776
0.24,0.5354327881515387
0.252,0.5757504539582767
0.264,0.6175049182453056
0.276,0.6608969188987537
0.288,0.7062373770833722
0.3,0.7536149977695733
0.312,0.8030624506909082
0.324,0.8548110244053886
0.336,0.9090995046896094
0.348,0.9662208896144124
0.36,1.0265706673345172
0.372,1.0905923678824254
0.384,1.1586596740101796
0.396,1.2310933892397693
0.408,1.3083092190674144
0.42,1.3909439400545434
0.432,1.479768523617299
0.444,1.5752434122108787
0.456,1.6764290870990377
0.468,1.784833225704984
0.48,1.9027081635125145
0.492,2.029429292961964
0.504,2.1648015785941728
0.516,2.3097863235717524
0.528,2.466701555080166
0.54,2.6364874660044424
0.552,2.817387715085286
0.5640000000000001,3.008719300712845
0.5760000000000001,3.2114818810230714
0.588,3.426160270176335
0.6,3.6537975848551136
