Strain,Energy
0.012,1e-05
0.024,0.000654816874166
0.036,0.0060190721638656
0.048,0.0193511362128898
0.06,0.0373874200176333
0.072,0.0562544291976217
0.084,0.0754956430717825
0.096,0.0953669827720027
0.108,0.1157451142233296
0.12,0.136642135423459
0.132,0.158263723032124
0.144,0.180655556923834
0.156,0.2036909895711553
0.168,0.2272673864635398
0.18,0.2513812008022048
0.192,0.2761476589161281
0.204,0.3017089809646671
0.216,0.3281810787859564
0.228,0.3556790913849262
0.24,0.3844306930902246
0.252,0.414551850627237
0.264,0.4460242784103155
0.276,0.478884738378642
0.288,0.5131461516824599
0.3,0.5489591861705403
0.312,0.5864682173433303
0.324,0.62575165598782
0.336,0.6668902827002755
0.348,0.7099503712689192
0.36,0.7551181776399212
0.372,0.8025337129295448
0.384,0.8520376886967059
0.396,0.903639242710084
0.408,0.957752211610045
0.42,1.0147330295473158
0.432,1.0747928602856034
0.444,1.13813560551829
0.456,1.205201531667366
0.468,1.2766646804184565
0.48,1.3529905632099637
0.492,1.4344407178300984
0.504,1.521460937103191
0.516,1.614663491740329
0.528,1.7143616574286389
0.54,1.820714012647984
0.552,1.9346779894966155
0.5640000000000001,2.0573479337309366
0.5760000000000001,2.189446835215087
0.588,2.332655866217242
0.6,2.4905382423652345
