Strain,Energy
0.012,1e-05
0.024,0.005751816166934
0.036,0.0215962508996814
0.048,0.0436976653758803
0.06,0.0683812958824593
0.072,0.093466574240497
0.084,0.1185977297073491
0.096,0.1442583053594746
0.108,0.1706404475164713
0.12,0.1981869565668831
0.132,0.2270470041645119
0.144,0.2571572110125147
0.156,0.2884634437743033
0.168,0.3209842977133874
0.18,0.3547602011180341
0.192,0.3898421874801828
0.204,0.4262782228518049
0.216,0.4640844626904236
0.228,0.5032842421626834
0.24,0.5439626439402405
0.252,0.5864049534189454
0.264,0.630877403402185
0.276,0.6773735727669786
0.288,0.7258629578659148
0.3,0.7766154393201528
0.312,0.8298045970315464
0.324,0.8853943397785955
0.336,0.943743154536137
0.348,1.0054307132677018
0.36,1.0707801184789068
0.372,1.1397346413048808
0.384,1.2126381296096802
0.396,1.2900135477977344
0.408,1.3722980937833302
0.42,1.4599781146738693
0.432,1.5533383312633129
0.444,1.6531724772059335
0.456,1.760107398439667
0.468,1.8740729684135036
0.48,1.9950721492030357
0.492,2.1232437631022583
0.504,2.2591198745467604
0.516,2.4039838560033844
0.528,2.558141507529162
0.54,2.7213753252392467
0.552,2.8951004682492307
0.5640000000000001,3.0810829452990256
0.5760000000000001,3.279908232468176
0.588,3.4912912849116977
0.6,3.7159145469726647
