Strain,Energy
0.012,1e-05
0.024,0.0077458194182777
0.036,0.0279382157430823
0.048,0.054215755917691
0.06,0.0827749914706374
0.072,0.1129198243047138
0.084,0.1442454908226755
0.096,0.1765045318105359
0.108,0.2096389646191224
0.12,0.2437158784103852
0.132,0.2789109893269352
0.144,0.3154100708399239
0.156,0.3535137220744334
0.168,0.3936963900192372
0.18,0.4360071620515475
0.192,0.4801628638576662
0.204,0.5261356435689132
0.216,0.5740167738881766
0.228,0.6237484481466321
0.24,0.6753528186567884
0.252,0.7290876450067819
0.264,0.7851952783989594
0.276,0.8438516781159382
0.288,0.9051823047903256
0.3,0.9693810483296326
0.312,1.0365304367412471
0.324,1.1068028258188172
0.336,1.1805453972198388
0.348,1.2580591775409515
0.36,1.3397315464422024
0.372,1.4258347244936762
0.384,1.516773469212541
0.396,1.612828886113607
0.408,1.7144159956110836
0.42,1.8221746758263797
0.432,1.936340360090358
0.444,2.057444334748222
0.456,2.1860438921181893
0.468,2.3221051498763337
0.48,2.465700252747344
0.492,2.6173839466372346
0.504,2.777689101695137
0.516,2.9470220800854388
0.528,3.128059499258059
0.54,3.32299464057772
0.552,3.531313795732693
0.5640000000000001,3.753090451143024
0.5760000000000001,3.989093728485652
0.588,4.240463950714348
0.6,4.5101918648251775
