Strain,Energy
0.012,1e-05
0.024,0.0083415457447944
0.036,0.0305976035095468
0.048,0.0605154103690228
0.06,0.0937599714487006
0.072,0.1291839683767012
0.084,0.1661845873534732
0.096,0.2042848558862618
0.108,0.2433697197654805
0.12,0.2835727918676392
0.132,0.3250397178653006
0.144,0.3679243635115156
0.156,0.4123484171848535
0.168,0.4583965886528062
0.18,0.5061388834791063
0.192,0.5555805015677309
0.204,0.6067582795783699
0.216,0.6598761473779585
0.228,0.7150724277736051
0.24,0.7724017566937466
0.252,0.8318510340441724
0.264,0.8932687834230029
0.276,0.9567164870754848
0.288,1.0226558703956106
0.3,1.091649607913867
0.312,1.1638516300316433
0.324,1.2395010163184832
0.336,1.3189538447348783
0.348,1.4023922557864534
0.36,1.490236946932506
0.372,1.5829355789156552
0.384,1.6810959323010364
0.396,1.7852254605390965
0.408,1.895571370728124
0.42,2.0129384538354977
0.432,2.1382507839522398
0.444,2.2710358217348854
0.456,2.410680306450031
0.468,2.5582745229336035
0.48,2.714993960680843
0.492,2.8811405812920947
0.504,3.0568091566537827
0.516,3.2419570484496267
0.528,3.435743818503747
0.54,3.639308714551873
0.552,3.8545180501200527
0.5640000000000001,4.082306738887601
0.5760000000000001,4.324689358609631
0.588,4.583225839146237
0.6,4.85881273123894
