Strain,Energy
0.012,1e-05
0.024,0.0073083604829455
0.036,0.0286220818687592
0.048,0.0600315819135871
0.06,0.0954537143209999
0.072,0.1311688159426567
0.084,0.1668232947501546
0.096,0.203216444197123
0.108,0.2408219494192313
0.12,0.2799543867392144
0.132,0.3206842920665497
0.144,0.36317319927545
0.156,0.4073919824472845
0.168,0.4533726003199568
0.18,0.5013484263536044
0.192,0.5511997957945113
0.204,0.602679534886576
0.216,0.6557014088022398
0.228,0.7101062762475882
0.24,0.7658779491628042
0.252,0.8233001695851797
0.264,0.88257334364705
0.276,0.9438023501841656
0.288,1.0069880537144489
0.3,1.0720382967089797
0.312,1.1394161555900877
0.324,1.209445589409027
0.336,1.2818551243973848
0.348,1.3568000473581985
0.36,1.4349104454749535
0.372,1.516967064687842
0.384,1.6044532848027997
0.396,1.6975184259220295
0.408,1.7952884038800898
0.42,1.8977077940878184
0.432,2.0051536073517418
0.444,2.120103375745391
0.456,2.2433610944048508
0.468,2.375924879289828
0.48,2.51947006443151
0.492,2.6733345603860905
0.504,2.8381496209503707
0.516,3.015964849689853
0.528,3.206744742670758
0.54,3.408267952087513
0.552,3.620279126805789
0.5640000000000001,3.844177658152048
0.5760000000000001,4.0809755854365255
0.588,4.331283482298728
0.6,4.596904033302794
