Strain,Energy
0.012,1e-05
0.024,0.0001
0.036,0.0004680215195607
0.048,0.0020071233349018
0.06,0.004778908463769
0.072,0.008360210331278
0.084,0.0123421610100165
0.096,0.0166218128784233
0.108,0.0211417421908756
0.12,0.0258449047142622
0.132,0.0307094993463163
0.144,0.0357099715012415
0.156,0.040819259484565
0.168,0.0460242952593457
0.18,0.0513139746876437
0.192,0.0566830180378805
0.204,0.0621312433449854
0.216,0.067656462140778
0.228,0.0732507154881959
0.24,0.0790096173662142
0.252,0.0851931614308652
0.264,0.0919156183609637
0.276,0.0990886368777278
0.288,0.1066856510274644
0.3,0.1146168490515948
0.312,0.122799234211964
0.324,0.1312745076062293
0.336,0.1399817201249041
0.348,0.1487951769357126
0.36,0.1576605593467153
0.372,0.1665113000354969
0.384,0.1753754316610945
0.396,0.1843923566493968
0.408,0.1935850281135494
0.42,0.2028810490721171
0.432,0.2122204187328494
0.444,0.2216086132683782
0.456,0.231049109427171
0.468,0.2405917668661463
0.48,0.2502744649857891
0.492,0.2601747992079664
0.504,0.2705614848701442
0.516,0.2816513657208963
0.528,0.2932476860734334
0.54,0.3054983986867547
0.552,0.3185614451855593
0.5640000000000001,0.332578575803095
0.5760000000000001,0.3484359252478121
0.588,0.3669378728946357
0.6,0.3885265804121294
