Strain,Energy
0.012,1e-05
0.024,0.0015656136786892
0.036,0.0081354080356586
0.048,0.021034276914227
0.06,0.0374361458500266
0.072,0.0541030137802439
0.084,0.0703987525105596
0.096,0.0868718916819295
0.108,0.1039379673689721
0.12,0.12187293262391
0.132,0.1407516514877421
0.144,0.1605045234655742
0.156,0.1809647034816941
0.168,0.2020284338123672
0.18,0.2237155446295394
0.192,0.2460892909964939
0.204,0.2692568689115893
0.216,0.2933186600299495
0.228,0.3182811498805067
0.24,0.3441063128119322
0.252,0.3708218132944095
0.264,0.3984782719934738
0.276,0.4271677448413911
0.288,0.4570598311766987
0.3,0.4881966278202105
0.312,0.5205394859633428
0.324,0.5541200076329381
0.336,0.5891063515599976
0.348,0.6257391391488227
0.36,0.6641209210682418
0.372,0.704329458279014
0.384,0.7465336782737634
0.396,0.7911869517696917
0.408,0.8387629566988575
0.42,0.8893444260012819
0.432,0.9431351683015186
0.444,1.001142179768188
0.456,1.0634752611382048
0.468,1.1305392111749184
0.48,1.202858019282384
0.492,1.2797654764643944
0.504,1.3615777170584131
0.516,1.4494626490046514
0.528,1.5443750446574145
0.54,1.6459570698827952
0.552,1.7542069441524295
0.5640000000000001,1.8702319150429296
0.5760000000000001,1.9945142876552424
0.588,2.1268005020096337
0.6,2.267794451825816
