Strain,Energy
0.012,1e-05
0.024,0.0064509202756004
0.036,0.0262935631274512
0.048,0.0569991859086553
0.06,0.0922085193991209
0.072,0.1282615626362505
0.084,0.1649472211220284
0.096,0.2026319556520971
0.108,0.2416398078128614
0.12,0.2821621678591557
0.132,0.3244328415931374
0.144,0.3686276935373586
0.156,0.4147373252038454
0.168,0.4624773202051675
0.18,0.5117272974041214
0.192,0.5626537087511458
0.204,0.6152808090598086
0.216,0.6694814367736371
0.228,0.7252828713514448
0.24,0.7828497916496392
0.252,0.8422049947066833
0.264,0.903365887609591
0.276,0.9665136166834322
0.288,1.0319012097723366
0.3,1.099484891033453
0.312,1.1695111967894802
0.324,1.242314355531955
0.336,1.317851318690738
0.348,1.3963450870887857
0.36,1.478273597707028
0.372,1.5641469744904066
0.384,1.6544590805864114
0.396,1.749616545627193
0.408,1.849795181268003
0.42,1.9553979867769709
0.432,2.067171844359989
0.444,2.185571337061364
0.456,2.3116617766339136
0.468,2.445894191271062
0.48,2.5881595487820723
0.492,2.7391363662628763
0.504,2.899337755110827
0.516,3.069359971848133
0.528,3.248855634235884
0.54,3.438770822350425
0.552,3.6412588886873714
0.5640000000000001,3.8572156880910655
0.5760000000000001,4.086924074379112
0.588,4.330222010691616
0.6,4.588418160189435
