Strain,Energy
0.012,1e-05
0.024,0.0043575178241522
0.036,0.0211814389025226
0.048,0.0533983230688761
0.06,0.0963370338276003
0.072,0.1444560281287997
0.084,0.194716285030838
0.096,0.2456699293474915
0.108,0.2974389325307057
0.12,0.3505259359317036
0.132,0.4053275127321612
0.144,0.4618604030180048
0.156,0.5202405661604436
0.168,0.5806505190161066
0.18,0.6429347088173614
0.192,0.7070337600679933
0.204,0.7730825336528534
0.216,0.8411136536855931
0.228,0.9110795106515884
0.24,0.9829462447201778
0.252,1.0566569357454114
0.264,1.132228465100479
0.276,1.2097798213865634
0.288,1.2894574539848869
0.3,1.371403502730654
0.312,1.4557915904934484
0.324,1.5428004659925274
0.336,1.6326046301474828
0.348,1.72545345437696
0.36,1.821745877704373
0.372,1.9220929009746637
0.384,2.026631946851389
0.396,2.1356281726797057
0.408,2.24982290262654
0.42,2.369654681735771
0.432,2.495526716404856
0.444,2.6279784722079818
0.456,2.767927621860776
0.468,2.916365874589271
0.48,3.073773022999097
0.492,3.2403891285740394
0.504,3.416921983205695
0.516,3.6047642263839488
0.528,3.804741019705143
0.54,4.01703387305533
0.552,4.242994328680614
0.5640000000000001,4.484279162124981
0.5760000000000001,4.742036107981622
0.588,5.017938905935139
0.6,5.313708916623778
