Strain,Energy
0.012,1e-05
0.024,0.0011097872021293
0.036,0.00756015987797
0.048,0.0223458259899339
0.06,0.0425257918900902
0.072,0.0644850661967758
0.084,0.0866116093095989
0.096,0.1085223178702643
0.108,0.1307223823723629
0.12,0.1534224786037535
0.132,0.1768898482857742
0.144,0.2013434329834523
0.156,0.2267577030992164
0.168,0.2530829417321666
0.18,0.2803398592830066
0.192,0.3085479357476171
0.204,0.3378527492282125
0.216,0.3684353388854939
0.228,0.4002596161854353
0.24,0.4332834798237633
0.252,0.4675705598032169
0.264,0.5031128658294444
0.276,0.5399130377918093
0.288,0.5779888863870568
0.3,0.6174598623155226
0.312,0.6585675340098291
0.324,0.7014044551597709
0.336,0.7460462969943158
0.348,0.7927585048626795
0.36,0.8418091738236488
0.372,0.8934617982490641
0.384,0.947890902661038
0.396,1.0054193971093484
0.408,1.0662852047823088
0.42,1.130456913445084
0.432,1.1980987607176603
0.444,1.2695585946371393
0.456,1.3450780169401768
0.468,1.4247293116487758
0.48,1.5086498422073311
0.492,1.5971111666703224
0.504,1.690306216170974
0.516,1.788153818263998
0.528,1.89082208887903
0.54,1.9991207708561247
0.552,2.114222914014011
0.5640000000000001,2.2369261904034614
0.5760000000000001,2.3677024413191416
0.588,2.5077293541982995
0.6,2.6592624397277635
