Strain,Energy
0.012,1e-05
0.024,0.0144568585408871
0.036,0.0523881601242729
0.048,0.1021657918780983
0.06,0.1563271564622805
0.072,0.212680249277338
0.084,0.2704342552622787
0.096,0.3298597314708926
0.108,0.3911130134580972
0.12,0.4541287411346731
0.132,0.5187477503747567
0.144,0.5849402512649899
0.156,0.6530562267969694
0.168,0.7234358836304653
0.18,0.7960620759753028
0.192,0.8708622169755775
0.204,0.9479669788589736
0.216,1.0277497843022592
0.228,1.110122840449624
0.24,1.195284807890398
0.252,1.2835191406870354
0.264,1.374618013149694
0.276,1.4687397297043652
0.288,1.5661581384357923
0.3,1.6671695067128351
0.312,1.772327734374689
0.324,1.8822506135029031
0.336,1.9969799234612815
0.348,2.1164929486187853
0.36,2.241411251053925
0.372,2.372335334846904
0.384,2.510138154422377
0.396,2.655412627197645
0.408,2.8081370842016646
0.42,2.968697692628975
0.432,3.1376192595018035
0.444,3.3153489372605818
0.456,3.5029320926309717
0.468,3.7008556046195262
0.48,3.908754379104498
0.492,4.126939315783014
0.504,4.356743752735617
0.516,4.600707266081088
0.528,4.859674387746677
0.54,5.1338322640629706
0.552,5.424514898656459
0.5640000000000001,5.732606385102911
0.5760000000000001,6.05903048130898
0.588,6.404993455531538
0.6,6.771886086461304
