Strain,Energy
0.012,1e-05
0.024,0.0002172775991877
0.036,0.0024555998986105
0.048,0.0084498218333459
0.06,0.0171551446916549
0.072,0.0269661581994135
0.084,0.0374128914711233
0.096,0.0483671810443507
0.108,0.0597295468459562
0.12,0.0714618028041782
0.132,0.0835448243973201
0.144,0.0959450032667911
0.156,0.108637636153581
0.168,0.1216115325327259
0.18,0.1348571637431143
0.192,0.1484497848956535
0.204,0.1625719836828079
0.216,0.1774169080173173
0.228,0.1930924236433629
0.24,0.2097532266219246
0.252,0.2275359636921682
0.264,0.246404715087471
0.276,0.2661837628212332
0.288,0.2866030377927714
0.3,0.3076762449207577
0.312,0.3294945461715777
0.324,0.3519416295654826
0.336,0.3750615554267009
0.348,0.3989598696503997
0.36,0.4235911497714038
0.372,0.4490428685565549
0.384,0.4754704970612255
0.396,0.5029653983899216
0.408,0.5316340157682883
0.42,0.5615611991369035
0.432,0.5928607306580466
0.444,0.6256518933676812
0.456,0.6599946909152704
0.468,0.696249043738173
0.48,0.735223156317933
0.492,0.777774866903958
0.504,0.8244320929917912
0.516,0.8752277484001705
0.528,0.9304859272486792
0.54,0.9906136677088326
0.552,1.0552576001024907
0.5640000000000001,1.1243313391010554
0.5760000000000001,1.1989735665101775
0.588,1.2807507025305456
0.6,1.3693453017230135
