CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
0.405647,0.755918,0.562165,1.52679,8.65741,1.86352,0.72943,0.63245,-0.98527,0.845899
4.73202,1.85176,1.63945,5.41928,144.446,83.3343,0.734171,0.754359,-1.5341200000000002,0.638746
8.17791,0.393706,0.72086,1.69494,11.9921,2.54952,0.680661,0.45807899999999996,-1.60179,0.752594
10.1457,0.27923,0.53456,1.32413,7.28168,1.21559,0.808787,0.8837179999999999,-0.0458538,0.756446
12.5901,0.56661,0.886628,2.29697,20.3336,6.3455,0.753804,0.7716639999999999,-1.7518,0.815169
10.2595,3.62505,0.4671,3.17946,49.9191,16.829,0.9204,0.8739159999999999,-1.3510300000000002,0.636193
12.62,2.31139,2.83395,4.64563,97.8646,52.4968,0.682408,0.475231,-1.06753,0.69281
0.754593,3.29919,1.28187,3.01155,36.7834,14.301,0.74188,0.5448270000000001,-1.0018500000000001,0.774601
2.1314,7.42278,1.32502,3.77985,56.9407,28.2762,0.575203,0.669746,1.20294,0.788272
12.5951,7.99784,1.78789,4.72847,86.085,55.3554,0.728727,0.8954489999999999,-0.9529569999999999,0.815949
0.435648,6.68793,0.394964,1.64175,11.9025,2.31697,0.864466,0.870227,-0.8753650000000001,0.711421
8.60769,6.40992,0.27516,1.7167,12.6154,2.64899,0.912111,0.892518,0.23468599999999998,0.733897
6.3884,6.88258,0.688013,2.27453,17.6162,6.16131,0.541009,0.8767929999999999,-0.855832,0.922616
10.1079,9.60182,1.10276,2.95016,32.0243,13.4442,0.533619,0.839583,0.796152,0.85381
4.67273,7.70705,0.897759,1.8843,11.6669,3.50306,0.404489,0.0533402,1.7812100000000002,0.95608
8.14416,8.37109,0.463737,1.97467,14.6761,4.03162,0.708043,0.885671,-1.7447300000000001,0.834693
0.624604,10.0105,0.861874,2.38137,21.6417,7.07095,0.702574,0.837029,-0.929425,0.823209
7.59706,11.0045,1.01357,3.70969,50.339,26.7307,0.68975,0.855333,-1.3477199999999998,0.858855
4.99874,11.3665,0.917396,1.91349,17.2735,3.66839,0.751168,0.315834,0.709949,0.665919
2.95386,10.8368,1.13944,3.21259,34.9118,17.3606,0.462486,0.7722249999999999,-0.590182,0.928728
11.6244,11.1376,0.376135,0.963642,3.4348,0.468538,0.496772,0.835302,-0.24913,0.849335
12.9991,12.6246,0.786808,2.55436,23.7093,8.72661,0.558861,0.866262,0.853119,0.864562
10.5976,12.4641,0.483847,1.64199,9.64575,2.31799,0.473299,0.8657349999999999,-0.577189,0.878125
0.777039,12.7614,1.07433,2.54013,23.6604,8.58152,0.464773,0.567457,-1.02101,0.856717
3.93453,13.1689,0.446625,1.53647,8.38482,1.89919,0.420743,0.874723,-0.385,0.88451
2.30994,13.5624,0.253651,1.17494,5.83792,0.849268,0.850836,0.8640789999999999,1.7323,0.742886
6.17326,13.3489,0.470028,1.82285,13.3479,3.17138,0.794647,0.8986270000000001,-1.7136099999999999,0.782056
11.1454,13.5185,1.61594,2.17792,19.9187,5.40911,0.812198,0.15140599999999999,-0.0938123,0.748123
8.58457,13.4924,1.74924,2.1843,19.3558,5.45679,0.827214,0.160084,1.7594800000000002,0.774398
2.51589,6.39498,5.82743,6.31126,167.769,131.628,0.80016,0.43032800000000004,-1.3249799999999998,0.745883
