CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
1.91576,1.0168,1.08393,3.11281,40.6997,15.7927,0.585367,0.870386,-1.6818799999999998,0.747936
4.80079,0.533317,0.36602,1.6407,11.2905,2.31251,0.850743,0.8653489999999999,-0.118756,0.749019
7.57597,1.55864,0.677398,2.75326,28.6967,10.928,0.744894,0.885748,0.367838,0.829872
8.81647,0.242008,0.924925,1.50068,9.34225,1.76954,0.88647,0.41015,-1.79792,0.757308
10.6012,0.10745,0.129325,0.63991,1.88375,0.1372,0.953859,0.868129,-0.0260608,0.682909
12.9466,1.34635,0.233403,1.78692,15.13,2.98753,0.952118,0.8896989999999999,0.654402,0.663009
10.123,1.47042,1.51573,3.11783,36.9211,15.8692,0.623514,0.340469,-1.64268,0.827143
0.588409,3.11617,0.523867,2.09418,17.6063,4.80886,0.860843,0.872222,-0.928059,0.782547
4.75615,1.66494,1.30424,2.45988,22.9391,7.79365,0.451832,0.411228,-0.47310899999999995,0.828709
3.51119,3.75315,0.391024,2.03765,16.8995,4.42985,0.800718,0.891142,0.753976,0.771857
6.04546,3.78882,1.21035,3.19041,35.6488,17.0035,0.476251,0.7429399999999999,1.72537,0.897014
11.8466,3.5076,1.18056,2.94991,32.647,13.4408,0.696403,0.528092,-0.964866,0.837383
9.41937,4.03738,1.56384,2.92789,36.2021,13.142,0.514896,0.231753,1.36231,0.743918
13.4509,3.97302,1.49906,2.42444,23.6297,7.46162,0.837908,0.569417,-0.8741589999999999,0.781476
1.8098,4.16148,0.179087,0.827505,2.40216,0.296695,0.672374,0.88467,-0.792491,0.895549
7.46625,5.91323,1.12443,2.88272,28.9311,12.5432,0.567531,0.594799,1.4654099999999999,0.902382
0.244693,6.22397,0.425887,1.46421,9.97889,1.64366,0.949577,0.85252,-0.898189,0.674956
5.34695,5.82358,0.310907,1.75141,12.7215,2.81294,0.877209,0.899986,-1.5728,0.757505
2.57808,6.38686,0.511359,2.72153,33.0052,10.5545,0.930648,0.844392,-1.4963399999999998,0.705006
9.44971,7.05886,0.789128,2.71402,27.6031,10.4673,0.691036,0.8029989999999999,1.15417,0.838332
13.3848,5.70132,0.221258,0.842844,2.38212,0.313502,0.509179,0.874555,1.6294399999999998,0.936871
11.8938,6.13714,0.0884098,1.02315,5.65296,0.560805,0.971742,0.8983240000000001,-1.6619,0.581768
13.0434,7.62391,1.3664,2.5564,22.5259,8.74753,0.646958,0.20663900000000002,1.27426,0.911437
7.06474,7.90145,0.217119,1.45982,9.77555,1.62891,0.918722,0.892487,-1.4516499999999999,0.684868
11.1104,8.95194,0.484522,2.41373,23.8579,7.36318,0.819023,0.884254,1.5504900000000001,0.767178
2.65099,8.68579,0.807583,2.48414,22.3143,8.02654,0.560169,0.689822,-1.56887,0.8688
0.880418,8.93765,0.176361,1.22089,6.44541,0.952854,0.922158,0.8953180000000001,0.622584,0.726526
5.11164,9.14358,0.273608,1.45344,8.29424,1.60764,0.810593,0.8451730000000001,1.57087,0.800142
13.5306,9.2436,0.897949,1.67455,10.8757,2.45862,0.712925,0.07123370000000001,-0.669388,0.810003
6.21972,8.82131,1.85978,3.18108,38.708,16.8547,0.508105,0.317373,-1.63294,0.821291
8.53564,10.041,1.96474,3.15229,36.813,16.4012,0.599806,0.64457,0.9573529999999999,0.84801
0.299776,10.3435,0.237815,1.08836,4.83352,0.675024,0.850039,0.897294,-0.9262279999999999,0.769898
5.96972,11.3086,0.799517,3.11747,39.8332,15.8638,0.79902,0.847209,0.115688,0.766495
12.7825,11.3794,1.35883,3.36306,42.4582,19.916,0.449738,0.62314,0.4926,0.836868
9.3194,11.2503,0.454059,1.8806,13.0434,3.48248,0.714308,0.853638,-0.259165,0.851827
1.94004,10.563,1.44155,2.80622,28.8152,11.5708,0.502614,0.24405000000000002,-1.4218600000000001,0.858559
10.8284,12.5277,0.31793,1.7534,13.4061,2.82255,0.828807,0.844646,-0.9035930000000001,0.720461
