CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
0.399997,1.46499,0.497028,1.72884,12.7865,2.70558,0.851695,0.894203,-0.8872620000000001,0.734355
6.27466,1.57038,2.24959,4.46323,78.0971,46.5526,0.420971,0.16364499999999998,1.04468,0.801331
8.85012,0.426202,0.539345,1.52959,10.2161,1.87381,0.749295,0.710916,-1.79638,0.719473
12.2725,1.01583,1.3413,2.88763,37.0827,12.6073,0.610352,0.600799,-0.10936,0.706417
3.55627,0.308824,0.108889,0.464511,0.746601,0.052479,0.449384,0.843116,-1.4668100000000002,0.90793
2.80711,2.29144,1.35099,3.77,52.5245,28.0557,0.433831,0.894718,0.6847570000000001,0.850099
9.52361,2.0545,0.78649,2.22536,19.6725,5.77029,0.188391,0.7564960000000001,0.830106,0.790844
5.27783,2.37567,0.200664,1.08355,4.57432,0.666106,0.805093,0.884647,-1.28981,0.806343
12.3297,4.19367,0.728059,3.37778,47.4725,20.1787,0.785787,0.871002,-1.04866,0.755042
6.75957,4.45745,0.318254,2.59786,42.9312,9.18005,0.978139,0.86797,1.5519900000000002,0.493864
0.494042,4.60259,0.529261,1.78226,12.3131,2.96421,0.720604,0.877591,0.9210699999999999,0.810446
2.39921,6.21677,1.89474,3.73462,58.9559,27.2733,0.397401,0.36119,0.367954,0.743216
7.40007,7.32009,1.12261,3.54665,49.0787,23.359,0.412136,0.864535,-0.872474,0.805182
11.2396,9.05558,1.42994,4.54804,80.5141,49.2572,0.552846,0.6408450000000001,0.818831,0.807096
4.36312,8.51938,1.16326,3.40363,42.9902,20.6455,0.318345,0.647045,0.04994780000000001,0.846574
2.18117,7.72509,0.207189,0.867332,2.63532,0.341628,0.638004,0.830521,0.626133,0.896781
0.859299,9.13982,1.00562,2.88207,30.2882,12.5346,0.615213,0.878793,0.8432080000000001,0.861557
13.7957,7.8438,0.0970109,0.493975,0.952251,0.063112,0.7823,0.823198,0.801868,0.805022
7.23755,12.1411,1.11434,3.1654,40.5889,16.6067,0.582493,0.692097,0.694855,0.775531
4.15524,11.6553,1.53908,3.78254,54.5967,28.3366,0.291036,0.57833,-1.5349199999999998,0.823283
8.29342,10.5348,0.0799355,0.466526,0.797457,0.053165,0.824394,0.82828,0.24579399999999998,0.857421
1.7294,11.4846,0.478762,1.70137,10.5053,2.57867,0.526229,0.878682,-1.00162,0.865646
