CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
0.335116,0.410098,0.248238,0.902999,4.19522,0.385532,0.749155,0.770472,-0.6391830000000001,0.610618
3.03431,0.240819,0.200116,1.12266,6.05664,0.74088,0.961158,0.883519,0.0181604,0.653758
7.2463,0.358326,0.661514,1.65565,11.9541,2.3763,0.856536,0.6833459999999999,0.053498000000000004,0.720394
9.5402,0.574591,1.03141,2.1821,17.4903,5.44032,0.610966,0.673535,0.04826539999999999,0.855269
12.731,0.790694,0.745095,2.37492,22.067,7.01366,0.716717,0.8838849999999999,-1.5280099999999999,0.802981
6.13488,2.00947,0.758257,2.52117,24.3206,8.39081,0.474085,0.864613,1.64811,0.821069
1.21128,1.98789,0.685909,2.51783,24.1723,8.35754,0.665458,0.706244,-0.983735,0.823919
8.50601,2.03102,0.923073,2.33102,23.5481,6.63191,0.548076,0.604073,1.7589,0.724915
11.4457,1.73399,1.43486,2.4443,21.9675,7.6465,0.431204,0.16279800000000003,-1.6676499999999999,0.854436
3.22262,1.64854,1.33526,2.75927,27.7395,10.9997,0.387005,0.292577,-1.41026,0.862261
12.1149,3.44622,0.833956,1.82409,12.784,3.1779,0.57866,0.40145000000000003,1.0287600000000001,0.817666
10.3634,3.07912,0.68415,2.00021,13.8876,4.19009,0.43745,0.866404,0.48922400000000005,0.905053
13.4846,2.98181,1.02296,1.93897,13.9899,3.8169,0.752127,0.16014199999999998,-0.838476,0.844262
4.68369,4.02943,0.896859,2.68307,25.611,10.1134,0.402385,0.848703,-1.25701,0.883053
7.01957,4.11583,0.819554,2.37511,19.6903,7.01538,0.394186,0.7413979999999999,-0.6874420000000001,0.900046
9.0991,4.52673,0.894834,2.55373,24.2799,8.72009,0.447448,0.701948,-1.03652,0.843824
2.5291,4.42399,0.74073,2.1396,15.7188,5.12854,0.520572,0.7043349999999999,-0.559398,0.914944
11.5253,5.19178,0.448324,2.04879,17.9575,4.5029,0.747535,0.852447,0.635518,0.734344
0.659927,4.43047,0.188,1.08038,4.59405,0.660275,0.806734,0.873622,1.49086,0.798188
13.3127,5.06635,0.887055,1.97181,14.6959,4.01413,0.558304,0.603616,-1.00962,0.831153
3.51725,6.24157,0.447114,2.07636,17.1574,4.6871,0.812014,0.82146,-0.34419,0.789408
0.997005,6.05055,0.306907,1.51442,8.95478,1.81859,0.746227,0.896361,0.480128,0.80461
5.10249,7.48503,1.00902,2.99842,36.6937,14.1148,0.701616,0.684377,1.37369,0.769736
7.05563,6.38159,1.66077,2.69398,26.1666,10.2372,0.764992,0.5113369999999999,1.45436,0.871346
10.59,7.12755,1.40368,2.92279,30.6765,13.0734,0.561774,0.256328,0.40893799999999997,0.874859
