CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
0.0719626,0.215888,0.106636,0.412313,0.656701,0.036701,0.862216,0.8531749999999999,-0.824165,0.813271
1.93332,1.03753,1.09495,2.80813,40.0732,11.5944,0.56228,0.581426,1.66807,0.6182
4.7231,0.182824,0.693657,0.996818,3.97482,0.518616,0.778376,0.35334400000000005,1.77774,0.785351
6.11741,0.102358,0.15717,0.517858,1.04955,0.072716,0.880687,0.79204,1.68473,0.802724
10.1764,2.03204,2.0327,5.00724,94.5318,65.7346,0.320845,0.5950869999999999,0.23565999999999998,0.833238
12.8849,0.311432,0.264539,0.646246,1.34754,0.141316,0.373149,0.8677750000000001,-0.405144,0.973653
5.20434,0.926331,0.096795,0.833206,3.16937,0.302869,0.926176,0.892078,1.47678,0.688147
13.6869,1.43939,0.107069,0.651947,2.08466,0.145089,0.879905,0.894212,1.2082,0.640528
5.57146,1.9967,0.0414563,0.407109,0.661317,0.035329,0.89345,0.8630209999999999,1.46232,0.787339
3.65689,2.38981,0.0373152,0.552175,1.59256,0.088151,0.952649,0.889674,0.785933,0.601458
6.49029,2.27194,0.035339800000000005,0.407109,0.674563,0.035329,0.911679,0.891867,1.22047,0.771879
5.20163,3.60062,1.13615,1.73792,13.6589,2.74846,0.506396,0.49011299999999997,1.27138,0.694694
6.9459,4.10395,0.502424,1.75517,12.1304,2.83112,0.53366,0.8713609999999999,-0.22471800000000003,0.797841
13.7506,3.37068,0.62741,0.898694,3.09234,0.380044,0.767725,0.628505,-0.849297,0.820514
0.874268,5.91923,0.792517,2.72635,43.3551,10.6107,0.690913,0.894361,0.9350390000000001,0.538609
13.2959,4.8244,1.70958,2.03333,19.1299,4.40172,0.597615,0.626829,-0.788298,0.678974
3.98339,5.99129,0.501068,1.99033,20.6644,4.12835,0.86084,0.7864749999999999,-1.4370699999999998,0.602252
9.44863,5.24764,0.251831,1.09204,5.55783,0.681884,0.845669,0.8131879999999999,-1.20868,0.674092
12.6617,5.29265,0.154538,0.752321,2.03735,0.22295,0.7464,0.882554,1.3151599999999999,0.872752
7.70597,5.70295,0.265981,0.98368,3.40019,0.498379,0.608553,0.7379370000000001,1.1144,0.894034
11.228,6.23921,0.90473,2.34294,23.008,6.73412,0.424888,0.532525,-0.241872,0.749536
6.63698,5.91647,0.244186,0.520289,0.908859,0.073745,0.54258,0.44026200000000004,-0.488504,0.935713
13.294,6.20882,0.130789,0.463497,0.88537,0.052136,0.912183,0.717902,1.71239,0.762285
6.42851,7.2066,0.636854,1.43097,8.05668,1.53424,0.569262,0.47151899999999997,0.36668300000000004,0.798467
2.63448,6.81505,0.0941137,0.58075,1.24467,0.102557,0.78322,0.8969419999999999,-0.6082650000000001,0.85128
13.7044,6.72192,1.45052,1.50116,10.3059,1.77125,0.903557,0.182618,0.92999,0.686943
12.519,7.41417,0.503151,1.42508,8.54433,1.51537,0.63413,0.594546,1.4868999999999999,0.746711
7.93395,7.49138,0.5338,1.08113,5.48236,0.661647,0.797403,0.387259,1.59076,0.669783
9.45115,7.20634,0.368416,0.759581,2.12803,0.229467,0.493834,0.23187999999999998,-1.43788,0.851766
13.7838,7.71929,0.215487,0.650918,2.06866,0.144403,0.717041,0.7859659999999999,0.9822329999999999,0.643446
3.13707,8.93095,0.594255,2.51625,23.7233,8.34176,0.683288,0.857316,-1.7870400000000002,0.838455
10.9226,7.9326,0.130262,0.629613,1.41102,0.130683,0.649016,0.8664700000000001,1.40179,0.882601
8.7576,8.85455,0.707664,1.93932,14.6123,3.81896,0.652018,0.7353069999999999,-0.304817,0.808594
7.57167,8.63064,0.120256,0.589047,1.21676,0.107016,0.611045,0.883704,1.71905,0.89587
0.258059,9.4053,0.739985,1.45736,8.6095,1.62068,0.842876,0.7033459999999999,0.926061,0.775003
12.6987,9.41507,0.940903,1.94308,16.8255,3.84126,0.706461,0.560953,0.527357,0.70496
5.44791,9.55279,0.0630598,0.726358,2.8031,0.200655,0.947875,0.886375,-0.419203,0.591305
9.93355,10.4155,0.443421,1.98503,16.4781,4.09542,0.794238,0.870027,-0.40536900000000003,0.751236
13.7925,9.36333,0.469093,0.815206,2.62792,0.283661,0.859278,0.578543,0.890571,0.79446
1.07223,11.106,0.401653,1.83965,13.8963,3.25987,0.762517,0.835403,1.6623500000000002,0.7651
12.4899,11.4383,0.754438,2.28783,25.7044,6.27004,0.716657,0.552902,1.68977,0.639721
4.18358,10.7346,0.616,1.4253,6.86206,1.51606,0.290751,0.431399,1.4636799999999999,0.930052
5.64341,10.8531,0.407565,1.00467,3.84592,0.530964,0.687991,0.6271650000000001,-0.653543,0.824506
7.42744,11.3132,0.19524,0.936052,3.24672,0.429436,0.739488,0.856879,0.0392829,0.847824
2.9853,12.1123,0.431563,1.67967,9.98116,2.48126,0.612912,0.8706149999999999,-1.7881399999999998,0.888011
4.73485,12.1899,0.393719,1.23135,5.24285,0.97755,0.378321,0.70491,1.22226,0.908537
7.93443,13.0608,0.589512,2.11665,18.4792,4.96527,0.591807,0.884017,-1.70857,0.761663
10.3836,11.9111,0.751272,1.37253,6.89435,1.35382,0.433821,0.20097,1.69939,0.858417
0.122768,12.4789,0.592538,0.753861,2.48805,0.224322,0.896321,0.124475,-1.04556,0.717583
5.74371,13.2605,0.228422,1.2628,6.44581,1.05438,0.813496,0.8776269999999999,-1.7167,0.77721
12.3924,13.0868,0.545029,0.879355,3.09856,0.356034,0.541046,0.7677630000000001,1.4845,0.784004
0.819784,13.5061,0.535515,1.57243,10.7141,2.03571,0.823126,0.6770470000000001,-1.7646100000000002,0.724999
13.7741,13.5133,0.066019,0.517042,1.11241,0.072373,0.926975,0.8691,0.8771129999999999,0.75498
11.1462,13.7289,0.596958,1.11058,4.89403,0.717213,0.79022,0.0456346,0.107614,0.79174
12.8842,13.7256,0.304733,0.581397,1.19739,0.1029,0.669463,0.15978,-1.5878800000000002,0.88687
2.62572,4.65766,1.47084,1.45715,8.65749,1.61999,0.651912,0.0718037,1.71227,0.77049
7.76034,10.5152,0.764742,1.26662,6.04768,1.06399,0.571293,0.844454,1.7588499999999998,0.833398
3.2972,13.7209,0.476882,0.733733,1.85591,0.206829,0.406121,0.6093350000000001,1.55851,0.911314
3.0272,2.81195,0.520366,0.721776,1.70381,0.196882,0.348276,0.56679,1.27844,0.960578
1.1947,9.39034,0.41906,0.460427,0.702658,0.051107,0.455573,0.468022,1.3681999999999999,0.947823
6.00392,9.4783,0.899006,1.2453,5.30251,1.01116,0.243889,0.578551,1.14614,0.918791
6.20769,13.6785,1.05491,1.23336,7.16986,0.982352,0.882533,0.69208,1.69917,0.666528
4.47176,1.85125,0.943016,1.2273,5.57647,0.967946,0.499078,0.8304819999999999,1.32722,0.848579
6.14384,1.90434,0.805703,0.688401,1.75482,0.170814,0.632943,0.6593479999999999,-0.7672669999999999,0.848399
10.4091,7.77821,1.53006,1.97242,14.9289,4.0179,0.459273,0.348511,-1.67501,0.818696
7.1047,8.82851,1.27386,1.34037,7.32711,1.26087,0.775955,0.421754,1.4157499999999998,0.770308
1.25085,3.09775,1.07345,0.866751,3.27292,0.340942,0.642475,0.45197200000000004,-1.29277,0.721111
10.3352,4.98045,1.12373,1.12921,4.77244,0.753914,0.627509,0.312183,0.774596,0.839379
4.71715,8.18959,2.86224,4.04763,60.9191,34.7215,0.262819,0.54466,1.6744700000000001,0.844883
1.64818,10.027,0.658283,0.40177,0.523768,0.033957,0.597127,0.40964300000000003,0.922946,0.9682
1.95863,13.1591,1.21865,0.990404,3.51429,0.508669,0.385171,0.135285,1.03013,0.876872
3.92943,4.29722,1.21055,0.945673,3.14434,0.442813,0.31583,0.328811,-1.6362899999999998,0.893513
6.34572,5.32026,1.01494,0.70941,1.7771,0.186935,0.670597,0.41785200000000006,-0.48902999999999996,0.889678
1.9907,6.72614,0.749737,0.421115,0.577028,0.039102,0.532655,0.829237,1.28802,0.965502
11.548,10.546,0.80175,0.568178,1.03019,0.09604,0.181225,0.7450950000000001,1.21503,0.984467
13.4604,12.3775,1.49753,1.49805,11.15,1.76028,0.443125,0.461678,-0.7798480000000001,0.632308
5.9469,0.696251,1.64584,1.25342,6.99975,1.03106,0.723991,0.479417,1.1924599999999999,0.70511
5.00132,11.7018,1.68948,1.57955,8.80573,2.06349,0.310891,0.552498,1.19965,0.89013
1.2971,12.285,1.39588,1.23879,6.36936,0.995386,0.786083,0.47897199999999995,-1.77415,0.756919
10.7699,12.7203,1.63483,1.28685,6.6022,1.11578,0.476108,0.12145,1.13123,0.787978
6.89149,3.0491,1.08284,0.674771,1.49339,0.160867,0.322724,0.450422,-0.141842,0.957832
4.38611,5.78199,1.68026,1.69075,11.1197,2.53065,0.484408,0.522872,1.7778999999999998,0.80763
6.41014,12.6312,0.977346,0.517042,0.865314,0.072373,0.324856,0.129224,1.25291,0.970573
3.83665,12.9216,1.35274,1.14325,4.45318,0.782383,0.238318,0.611371,1.4747700000000001,0.922062
1.25939,3.93832,1.71278,1.1056,5.17408,0.707609,0.624116,0.6609900000000001,0.0227714,0.742186
8.06843,5.91551,1.8409,1.83148,15.1575,3.21665,0.483975,0.730385,1.37934,0.695224
1.73692,9.54499,1.80365,1.55529,10.2209,1.96985,0.329657,0.240474,-1.5301,0.743503
4.8915,0.412763,1.85372,1.25909,7.15837,1.04512,0.82369,0.365394,-0.489437,0.695741
6.79277,0.870495,1.12832,0.404457,0.53774,0.034643,0.488261,0.307382,1.72081,0.955702
5.23003,2.66107,2.91826,2.72212,32.643,10.5613,0.462793,0.48592100000000005,1.73333,0.713138
9.4362,10.0681,1.73286,1.12629,5.37993,0.748083,0.655326,0.408221,0.34950499999999995,0.740755
3.01127,11.4555,1.76102,1.5734,9.50706,2.03948,0.376071,0.68899,-1.4313399999999998,0.818057
13.7093,1.31616,2.37962,1.522,11.7271,1.84603,0.918265,0.48290900000000003,0.901326,0.620562
9.54923,5.8362,2.17595,1.52576,9.38688,1.85975,0.687114,0.35867899999999997,-1.01194,0.77911
2.26701,7.88568,1.71734,1.18529,5.47284,0.871906,0.789358,0.5755680000000001,0.883703,0.806463
12.4077,12.9745,1.6264,0.920596,3.56781,0.408513,0.828724,0.33185899999999996,-1.25369,0.746253
12.9158,0.24652,1.83628,1.04659,4.50246,0.60025,0.799072,0.0696737,0.874448,0.764286
12.1901,7.83005,1.95682,1.29301,7.09836,1.1319,0.603618,0.630516,1.49252,0.739943
6.33881,10.6572,2.36022,1.53164,10.8243,1.88136,0.788241,0.37489199999999995,0.49120199999999997,0.680874
4.39014,10.4822,1.94831,1.49357,8.17965,1.7445,0.497976,0.289147,1.6725999999999999,0.856768
8.90282,12.8298,2.76837,3.10198,42.2551,15.6285,0.503481,0.436479,0.146541,0.715399
7.06226,5.0544,2.28304,1.4706,8.39811,1.66527,0.641086,0.342565,0.891499,0.809018
6.31381,11.2935,1.51006,0.617826,1.27116,0.12348,0.231453,0.8815529999999999,0.9726,0.943373
0.333594,11.5009,1.61554,0.856753,3.32751,0.32928,0.78742,0.8983969999999999,-0.523747,0.693014
1.44523,8.33905,1.65759,0.764096,1.93434,0.233583,0.434324,0.574925,1.56582,0.948228
0.659154,13.6755,2.08144,0.973188,4.0764,0.482601,0.819257,0.43849,-1.7946600000000001,0.729905
