CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
1.79505,0.213243,0.110721,0.798434,3.15452,0.266511,0.960057,0.888576,-0.010619400000000001,0.634884
4.52528,0.348388,0.142956,0.69884,2.60045,0.178703,0.902629,0.846814,-0.22597699999999998,0.590006
7.95365,0.886375,0.305951,1.37899,7.97253,1.37303,0.767272,0.891139,-0.6633159999999999,0.749332
12.4044,0.285761,0.277506,1.22512,6.93157,0.962801,0.892741,0.8977679999999999,-0.0015203600000000001,0.680264
6.57576,0.861559,0.708177,1.51413,9.1582,1.81756,0.693804,0.575004,1.09246,0.786441
9.80492,1.23917,0.836252,1.52171,9.81108,1.845,0.652305,0.305474,1.00745,0.741477
1.14564,1.71572,0.453437,1.74791,11.0377,2.79614,0.577871,0.8434780000000001,1.07542,0.869583
5.29064,1.13053,0.639444,1.17018,5.35147,0.838978,0.446792,0.29772200000000004,-0.162577,0.803856
12.4206,1.70396,0.474126,1.66853,13.2504,2.43221,0.780488,0.6681199999999999,-0.535427,0.660071
13.6159,2.23354,0.712998,1.43808,9.46097,1.55722,0.824146,0.104892,-0.0593309,0.686723
3.35256,2.29919,0.805085,2.13549,16.492,5.09904,0.153202,0.7007049999999999,1.7759800000000001,0.868698
7.92835,2.73695,0.861802,2.455,25.2829,7.74734,0.482125,0.843439,0.0854724,0.748902
9.92611,3.64314,0.42987,2.04916,23.0691,4.50531,0.84399,0.846009,0.649821,0.571834
5.06672,2.84215,0.216293,1.27433,7.2224,1.08354,0.829005,0.861883,1.1647100000000001,0.70637
0.942705,3.90054,1.25445,2.53,26.4394,8.4793,0.563068,0.163661,1.23539,0.76057
11.3413,3.39315,0.152019,0.702841,1.93751,0.18179,0.760129,0.8238160000000001,-0.813638,0.800979
13.4323,4.51647,0.95776,1.93209,20.3599,3.77643,0.760424,0.310201,0.7665130000000001,0.57601
2.6011,3.67358,0.137154,0.544181,1.16255,0.084378,0.658147,0.738374,-1.23525,0.800248
4.31326,4.17111,0.613716,1.64611,10.1827,2.33549,0.509906,0.723192,-0.5315,0.835998
7.75474,4.26642,0.279638,1.00423,3.66032,0.530278,0.499537,0.827445,-0.41836599999999996,0.865568
2.97118,4.84939,0.520908,1.00098,3.9187,0.525133,0.810432,0.44493299999999997,0.741054,0.803257
10.6007,5.34937,0.482955,1.22585,7.33839,0.964516,0.742167,0.408124,1.62582,0.643314
12.3744,6.49061,1.02175,2.60396,34.8914,9.24488,0.655455,0.33472700000000005,1.2439799999999999,0.61052
5.23493,5.41756,1.07573,1.95835,14.8996,3.9325,0.539713,0.725708,0.9949760000000001,0.808642
8.07793,6.50409,1.10464,3.04441,39.8114,14.7744,0.159867,0.20150600000000002,1.751,0.73139
1.69236,6.5512,0.452666,2.18018,21.0717,5.42592,0.768135,0.870994,-0.40605600000000003,0.708653
4.34753,5.88526,0.248197,1.02916,4.16169,0.570752,0.741253,0.8626649999999999,1.0974599999999999,0.79955
5.43465,8.02617,0.952989,2.42922,21.8068,7.50587,0.296937,0.531298,1.0135800000000001,0.850144
10.7761,6.63349,0.655629,1.42551,7.48096,1.51675,0.32057,0.303056,1.07847,0.853366
9.6096,7.4298,0.15498,0.689322,1.75805,0.1715,0.50904,0.8438249999999999,-0.913017,0.849107
3.78051,7.38513,0.127527,0.564776,1.07781,0.094325,0.558121,0.857762,1.61596,0.929737
3.51915,8.96829,0.435537,1.81804,14.8253,3.14634,0.812019,0.805576,-0.807551,0.700408
11.8026,8.10884,0.863677,1.83453,15.3929,3.23278,0.52904,0.19128900000000001,-1.12488,0.686879
