CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
0.236731,0.543049,0.71417,1.28261,6.57482,1.1048,0.886185,0.24738800000000002,-0.904948,0.786062
1.61838,0.818675,0.846973,2.19854,16.4591,5.56415,0.188225,0.356696,-0.8694580000000001,0.922592
4.74474,0.568767,1.14031,2.44222,24.6278,7.62695,0.830862,0.488677,-0.0012247,0.760838
6.79042,0.234892,0.847409,1.37496,9.72263,1.36102,0.902315,0.18022400000000002,-0.35491700000000004,0.610863
8.72911,0.589774,0.559094,1.94805,14.6737,3.87076,0.700544,0.856731,-1.79429,0.812471
11.3579,0.391286,1.00463,1.83213,12.315,3.22008,0.805989,0.14135,-0.0726595,0.856307
13.2884,0.153257,0.636646,1.10399,5.14272,0.704522,0.910623,0.808906,-1.7690299999999999,0.74454
13.085,1.21947,0.672912,1.89737,13.296,3.57646,0.287076,0.588563,-1.4358600000000001,0.850616
5.62272,2.42338,0.906511,2.72817,28.1507,10.632,0.338783,0.5317620000000001,1.79484,0.830622
10.8335,1.96393,1.27804,3.11194,34.7699,15.7794,0.620753,0.732141,0.0811524,0.874999
3.35069,2.15619,1.0651,2.40972,19.5668,7.32648,0.391566,0.17369900000000002,-0.585166,0.93231
7.14679,2.05008,2.33356,3.22647,37.8078,17.5866,0.685028,0.574518,0.953087,0.865017
8.3381,3.48548,0.592901,2.26797,19.997,6.10814,0.603161,0.859627,1.137,0.80809
0.665431,2.49369,1.51111,2.54009,24.2663,8.58117,0.606429,0.172182,-0.817383,0.835304
1.51375,3.13183,0.22083,1.51175,11.0533,1.80898,0.942453,0.852287,-0.335538,0.649551
13.2446,2.67677,0.513638,1.51346,8.98878,1.81516,0.610831,0.49050499999999997,-1.1472,0.800558
11.7696,3.7759,0.226734,1.51022,9.9805,1.80349,0.912524,0.8932410000000001,-1.6176599999999999,0.717918
3.64039,4.30849,0.815724,2.5805,24.2669,8.99723,0.692321,0.690086,-1.54506,0.862069
