CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
2.72084,0.565862,1.59962,1.9995,17.9167,4.18563,0.803071,0.172043,-1.42907,0.701024
4.58917,0.310094,0.633729,1.34533,6.88047,1.27493,0.703351,0.725674,-0.0179737,0.826401
6.85139,0.206626,0.456552,1.19316,9.22961,0.889399,0.953798,0.6935290000000001,-0.0576647,0.48458
10.1897,0.506928,0.751415,1.42712,8.86827,1.52189,0.623728,0.416497,-0.400221,0.721497
11.2966,0.104483,0.351724,0.510424,1.37079,0.069629,0.897856,0.22437100000000001,-0.621243,0.597088
12.898,0.23225,0.1,0.71586,2.32069,0.19208,0.926374,0.896127,-1.7705000000000002,0.693728
13.8408,0.24287,0.187783,0.532118,1.14962,0.07889,0.875743,0.619801,-0.926477,0.773768
0.449196,1.40913,0.231311,1.27929,7.93524,1.09623,0.937003,0.8846080000000001,-0.7327809999999999,0.647924
11.5668,1.62756,0.919166,2.42852,21.3542,7.49935,0.474965,0.625401,-0.891571,0.867659
5.48782,2.31965,0.196125,1.38391,9.40958,1.38778,0.909312,0.889274,0.6418250000000001,0.639431
3.52984,1.49008,0.145426,0.438829,0.616075,0.044247,0.367398,0.803806,-0.795068,0.981989
8.50678,3.28459,0.689925,3.13176,40.7466,16.0829,0.770483,0.8497830000000001,-1.18461,0.756199
1.75653,2.84493,0.225512,1.37009,9.50098,1.34662,0.914899,0.8226390000000001,-0.974459,0.620695
12.6628,4.4032,0.96276,2.66773,30.0478,9.94083,0.412798,0.8227760000000001,-0.311973,0.744081
3.46932,3.77056,0.807744,1.34618,8.46896,1.27733,0.890979,0.39894599999999997,-1.53213,0.672238
5.74755,4.01147,0.41016,1.28566,6.57879,1.11269,0.429742,0.6770860000000001,-1.00943,0.789323
0.790385,4.89269,0.170385,1.09459,4.91361,0.686686,0.861775,0.8648520000000001,0.0204259,0.766047
2.65471,5.51316,0.345071,1.55095,10.1424,1.95339,0.723723,0.8812779999999999,1.17619,0.745075
6.12792,5.80465,0.657875,1.31586,10.0954,1.19295,0.841635,0.347586,-1.52824,0.53882
13.766,5.4197,0.023333299999999998,0.40177,0.742186,0.033957,0.96989,0.8843559999999999,-0.930504,0.683268
8.55962,5.88668,0.388001,1.16134,4.49024,0.820113,0.330368,0.655604,-0.276281,0.943619
