CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
2.73496,0.576513,0.533657,1.62563,14.9616,2.24939,0.498182,0.8094499999999999,-1.35246,0.554904
4.96138,0.228472,1.0728,1.2147,6.82544,0.938448,0.838759,0.025179,1.61408,0.679141
6.1172,0.781762,0.312842,1.4635,9.43854,1.64126,0.858962,0.862526,-0.704882,0.712902
7.82054,0.434577,0.200233,0.852568,2.6228,0.324478,0.552794,0.8660089999999999,-0.816948,0.870648
11.1313,0.402282,0.161007,0.880765,3.55064,0.357749,0.844234,0.878902,-0.643539,0.686378
12.6749,0.168778,0.193472,0.617826,1.28271,0.12348,0.534396,0.87355,1.72452,0.934877
8.86139,0.904078,1.05136,2.06059,17.9043,4.58111,0.282546,0.24383500000000002,-1.65899,0.745029
0.526801,0.941976,0.223318,0.893254,3.93438,0.373184,0.819278,0.8387739999999999,1.7693199999999998,0.637122
12.3361,1.02032,0.518279,1.22512,5.57604,0.962801,0.456949,0.50365,-0.387346,0.845634
3.98053,1.36572,0.331162,0.763721,1.99177,0.23324,0.397976,0.229891,1.7451599999999998,0.919984
13.4879,1.54727,0.21375,0.837275,2.67083,0.307328,0.559284,0.8970090000000001,-0.717758,0.824592
7.246,1.84851,0.885556,1.60233,8.87794,2.15404,0.440066,0.230163,0.517964,0.908533
8.44977,2.35708,0.304794,1.4851,9.34916,1.715,0.769217,0.88685,-1.1309399999999998,0.741118
1.75088,2.65657,0.594556,2.1921,20.5446,5.51544,0.508527,0.8896970000000001,-1.57607,0.734806
12.9822,2.58749,0.330058,1.07549,4.65986,0.651357,0.594762,0.7051130000000001,0.510869,0.779814
4.7519,3.191,0.276557,1.72444,14.6917,2.685,0.903577,0.893781,-1.67181,0.635881
10.2502,2.74176,0.867323,1.78486,12.4868,2.97724,0.354813,0.29593,1.17342,0.801507
12.015,2.23721,1.25468,1.98885,16.9288,4.11909,0.42473,0.26971,-0.77051,0.734049
13.8016,3.10737,0.305263,0.558546,1.42824,0.091238,0.892886,0.162998,1.6603700000000001,0.686225
0.320977,3.93007,0.361201,1.32251,7.50459,1.21113,0.811185,0.8928400000000001,-0.916863,0.732181
12.7414,4.05144,0.279309,1.45075,9.46036,1.59872,0.782799,0.890402,0.248496,0.698916
7.76943,3.97762,1.60916,3.3459,47.4794,19.6127,0.398415,0.5768220000000001,0.16054,0.740748
2.03673,4.49676,0.22007,1.06865,4.45958,0.639009,0.775861,0.887864,1.6887,0.804504
3.55122,4.32925,0.174849,0.770033,2.37434,0.239071,0.666195,0.6860259999999999,-0.439312,0.78456
9.55332,4.4599,0.39762,1.08187,4.21494,0.663019,0.418182,0.841298,1.40369,0.872388
11.3764,5.78691,0.963812,2.98505,40.3865,13.9268,0.656826,0.758485,-1.1193,0.693133
4.52851,5.18891,0.40325,1.35265,6.54161,1.29585,0.384985,0.867866,1.1222,0.878692
2.84651,5.57546,0.326366,1.29796,6.40221,1.14493,0.529605,0.898651,0.23438199999999998,0.826688
0.985806,5.50621,0.460877,0.987725,3.19068,0.504553,0.225496,0.22074100000000002,0.769561,0.960591
13.86,5.67053,0.263947,0.558546,1.58256,0.091238,0.965443,0.628221,-0.9004859999999999,0.619309
9.365,6.90225,0.908826,2.18737,21.3922,5.47977,0.465963,0.566724,0.6965439999999999,0.702646
6.28298,8.16849,0.678213,3.30167,58.5812,18.8451,0.82346,0.88586,-0.995154,0.5846
1.9615,8.97291,1.41306,4.78563,97.981,57.3873,0.590636,0.899259,-1.18134,0.734322
3.9895,6.54548,1.42286,2.03238,16.264,4.39555,0.518851,0.19357600000000003,0.995792,0.79787
13.3018,8.71881,1.47976,2.31512,25.8792,6.49711,0.751523,0.115963,-0.669478,0.650648
9.81745,8.55826,0.438059,1.65772,9.78508,2.38522,0.592957,0.883462,-0.158347,0.882278
11.2769,8.11681,1.28615,1.45375,8.00394,1.60867,0.505494,0.152058,0.675351,0.829516
11.0654,10.5045,1.0714,2.32219,27.7421,6.55679,0.546362,0.33025,0.074879,0.610668
8.81689,10.4469,0.593498,1.49072,10.2214,1.73455,0.763416,0.713678,1.57949,0.683019
12.7049,11.1727,0.245091,1.3619,11.6674,1.32261,0.897421,0.82223,-1.0873,0.499418
5.54397,11.0416,0.287921,1.01005,3.90129,0.539539,0.833273,0.879839,1.19712,0.821531
4.44578,11.2094,0.555235,0.808914,2.80826,0.277144,0.820173,0.5914670000000001,0.976301,0.73201
6.97715,12.2611,1.53456,2.81892,36.2745,11.7285,0.611257,0.343844,1.6859600000000001,0.688196
0.948186,12.4036,1.29595,2.0517,18.8242,4.52211,0.512678,0.413584,0.155949,0.702527
1.23261,11.678,0.172464,0.712435,1.81628,0.189336,0.596974,0.883377,-0.8233029999999999,0.877923
8.16354,13.0209,0.309929,1.28381,7.40406,1.10789,0.739224,0.81367,1.2912799999999998,0.699324
10.0493,13.2398,0.821267,2.04311,19.8797,4.46552,0.329788,0.25606,1.09475,0.659663
4.21647,12.656,0.796568,1.11587,6.08635,0.727503,0.774997,0.195852,-0.060850600000000005,0.642713
1.96104,12.6136,0.0506716,0.444427,0.756067,0.045962,0.852672,0.898612,1.2975800000000002,0.82071
