CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
0.577687,0.91201,0.399433,1.66144,10.7387,2.40134,0.823379,0.895745,-0.7259680000000001,0.807552
4.29457,1.02998,0.510552,2.29519,21.2055,6.33075,0.80975,0.8790640000000001,1.79967,0.780439
8.62782,2.03776,2.18556,5.33468,120.361,79.492,0.363657,0.445378,-0.859246,0.742812
11.7196,0.675546,0.477155,1.99824,15.7605,4.17774,0.805044,0.874799,-1.72515,0.795931
13.6151,0.341096,0.351421,0.98929,3.68115,0.506954,0.656546,0.449103,-0.943801,0.835242
2.12358,3.71143,0.15589,1.38117,11.73,1.37955,0.988176,0.892981,0.6351140000000001,0.510911
12.7581,3.70822,0.760015,3.00118,44.6738,14.1539,0.761628,0.674907,-0.583544,0.633406
4.58867,3.66871,0.850032,3.05797,33.6191,14.9726,0.603156,0.8372499999999999,-1.42617,0.873837
1.05052,4.66973,2.20049,4.03633,68.5101,34.4317,0.727963,0.0933004,0.0662423,0.747083
10.5365,6.13302,1.2855,3.56136,43.575,23.6509,0.473447,0.8871819999999999,0.32184199999999996,0.914417
7.22177,5.30699,1.20086,2.45464,21.404,7.74391,0.309249,0.709543,0.0235881,0.884361
3.35033,6.49819,0.197875,1.31988,7.30985,1.20393,0.900304,0.8824460000000001,-1.54604,0.748703
13.4278,6.7845,0.924829,2.12383,18.1423,5.01603,0.766021,0.828348,-0.9201130000000001,0.781085
5.78882,7.34151,0.863197,2.60435,22.8231,9.249,0.38468,0.8187409999999999,1.3100899999999998,0.933627
8.97548,7.6869,0.199311,1.35895,8.01753,1.31403,0.90114,0.893937,-1.4890700000000001,0.723626
1.76972,9.18729,1.32798,4.59392,79.1002,50.763,0.687058,0.782195,-0.965929,0.838181
11.9911,10.3924,0.977737,4.07936,66.8731,35.5447,0.788597,0.879724,0.793888,0.781777
7.44321,9.3638,0.544119,2.34377,20.8105,6.74132,0.720957,0.847764,-1.3359299999999998,0.829274
6.18571,10.9776,1.05984,3.12216,39.4752,15.9354,0.613521,0.842581,0.412763,0.775775
9.51767,9.07265,0.716748,1.767,10.5826,2.88875,0.44443,0.501038,-0.855158,0.926895
5.01673,13.0669,0.260305,1.69242,13.247,2.5382,0.929985,0.894171,0.270394,0.679284
9.95321,12.8129,0.387925,1.82074,12.6072,3.1604,0.753683,0.8929659999999999,-1.31029,0.826087
