CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
3.38286,1.23788,0.210866,1.79928,18.8229,3.04996,0.958013,0.8865500000000001,-1.47747,0.540332
6.0356,0.291273,0.0755056,0.704605,2.32864,0.183162,0.953572,0.882976,-1.66709,0.669791
7.62189,1.54939,0.306003,1.82979,17.0847,3.20774,0.909051,0.8920950000000001,-1.5366399999999998,0.615661
9.7441,0.292263,0.715467,1.51289,10.3925,1.8131,0.832797,0.7998569999999999,0.062230299999999995,0.691902
12.5351,1.9426,2.16108,4.69261,82.1019,54.1055,0.57756,0.10244099999999999,0.15365299999999998,0.842608
1.0466,0.854995,0.387147,1.29,5.72365,1.12401,0.505894,0.8756140000000001,-0.128079,0.913394
5.24637,1.28956,0.110444,0.44553,0.780377,0.046305,0.812482,0.619742,0.244131,0.799094
9.98874,1.63153,0.659942,1.39117,6.99473,1.40973,0.250166,0.27740200000000004,0.736016,0.869235
0.957325,2.19342,0.503532,1.6253,9.62396,2.24802,0.541661,0.7621389999999999,-0.152945,0.862311
5.56528,2.53405,1.00578,2.43531,25.6757,7.56246,0.493849,0.89577,1.6501,0.725666
1.88629,3.18696,0.158015,0.962229,3.72002,0.46648,0.838266,0.8972530000000001,1.12246,0.781918
10.2282,4.53874,0.436716,2.66299,35.9639,9.888,0.904039,0.86615,-1.68978,0.619473
7.4888,2.90477,0.79425,1.28764,6.22882,1.11784,0.439262,0.349178,-0.270169,0.836239
0.599835,4.81833,1.11769,2.69359,29.4452,10.2327,0.823976,0.7615470000000001,-0.921338,0.774101
2.88144,3.71587,0.597803,1.41042,6.88328,1.46907,0.40088,0.553426,1.24911,0.907925
7.58407,3.9616,0.444954,1.06211,5.58918,0.627347,0.77509,0.567733,0.132047,0.634075
4.09845,5.58967,0.54952,2.80572,35.5709,11.5646,0.77841,0.894331,-0.40324,0.695252
6.63213,4.90462,0.250362,0.973879,3.29293,0.48363,0.597007,0.839495,0.8033549999999999,0.90485
13.3152,4.9371,0.782601,1.55988,8.2074,1.98734,0.443132,0.22145299999999998,1.65029,0.93138
7.82653,5.17988,0.220071,0.905403,3.85022,0.388619,0.761401,0.650553,-1.33918,0.668879
1.64944,5.82643,0.287222,0.832891,2.39377,0.302526,0.211797,0.46502200000000005,-0.953806,0.910422
6.47321,6.2729,0.297784,1.02854,3.91413,0.569723,0.518675,0.75634,1.45205,0.849099
13.0728,7.75749,0.546954,2.39408,25.527,7.18482,0.88325,0.857451,-0.785774,0.705387
12.0458,6.35118,0.213182,0.796029,2.47932,0.26411,0.76441,0.8234699999999999,1.0177500000000002,0.802925
8.43839,6.26588,0.167348,0.715007,1.76128,0.191394,0.618587,0.8932769999999999,-1.64592,0.911889
9.11172,6.63242,0.281953,0.673329,1.76009,0.159838,0.540451,0.233903,0.7494700000000001,0.809226
1.7616,6.90009,0.409657,1.32612,7.9669,1.22108,0.547067,0.806651,0.00976932,0.693465
11.0827,7.37798,1.18899,2.22589,20.9845,5.77441,0.584511,0.603089,0.486754,0.74175
7.93914,7.42954,0.350676,1.33414,6.28016,1.24338,0.622814,0.74559,0.942698,0.890392
6.45205,7.7655,0.433226,1.66405,9.98543,2.41266,0.578651,0.875814,0.774138,0.871195
0.522082,7.44547,0.354809,1.077,4.025,0.654101,0.279512,0.563591,0.504004,0.905347
9.47448,7.9409,0.459802,1.65994,10.0469,2.39483,0.570387,0.867427,0.7817010000000001,0.861588
5.09068,7.32968,0.433601,1.01917,3.40842,0.554288,0.433674,0.6427379999999999,1.5038,0.957389
11.0601,8.40383,0.282874,1.45992,9.10471,1.62925,0.817297,0.869277,0.712234,0.735433
4.98087,8.35267,0.17085,0.928769,3.65152,0.419489,0.825975,0.89763,1.27085,0.742148
1.46294,8.68274,0.188549,1.18326,7.27949,0.867447,0.888028,0.886463,1.57272,0.604243
3.33351,9.10341,0.600508,2.01758,17.4992,4.30019,0.57213,0.8445480000000001,-1.0557299999999998,0.730787
8.29111,9.85655,1.14549,3.07947,36.7904,15.2906,0.656294,0.871174,0.664783,0.809778
5.84462,9.39822,0.923321,2.18128,19.1745,5.43415,0.274853,0.682542,-1.4992599999999998,0.779555
1.00845,10.9537,0.451593,2.1364,23.5433,5.10556,0.847808,0.879717,-1.18441,0.609041
10.2117,10.5254,0.324327,1.06903,4.45024,0.639695,0.605162,0.726939,0.548028,0.806769
10.5491,9.54501,1.44296,2.22813,17.4467,5.7919,0.235855,0.0936339,1.6927,0.893961
7.17266,10.6255,0.195809,0.933804,3.95072,0.426349,0.784764,0.716623,0.692347,0.693401
13.2561,10.1474,1.33482,2.28503,19.9333,6.24706,0.485055,0.178241,-1.05132,0.822916
11.57,11.1889,1.08696,1.94337,14.9906,3.84297,0.388008,0.503941,0.932532,0.791487
12.9526,11.3028,0.314644,1.33561,7.26161,1.24749,0.710343,0.817655,0.37573,0.77175
5.18858,10.8136,0.137711,0.621805,1.54401,0.125881,0.803311,0.874185,-1.49548,0.786697
3.52625,11.6272,0.743819,2.14668,18.2782,5.17964,0.19295,0.865437,-0.135111,0.792048
5.96466,11.7481,1.08556,2.41024,23.7275,7.33128,0.620831,0.8240179999999999,0.674971,0.769165
9.97908,12.0284,0.267047,1.37979,9.11706,1.37543,0.860061,0.838858,-0.8442350000000001,0.656027
7.86473,12.4717,0.564211,1.79719,15.0709,3.03932,0.640627,0.702954,0.144259,0.673281
11.6593,12.2216,0.260729,1.20154,5.91826,0.908264,0.762317,0.755943,0.978909,0.766358
12.9865,12.8838,1.69901,2.73222,31.4433,10.6793,0.573102,0.167201,-1.6473,0.745849
4.7523,12.9741,0.930762,1.37461,7.69265,1.36,0.688995,0.268955,0.446556,0.771673
5.40874,12.6645,0.0259055,0.436549,0.977191,0.043561,0.960329,0.861602,1.1125,0.612684
1.57043,12.9086,0.189794,0.725114,1.79089,0.199626,0.599783,0.772441,-1.64588,0.922347
0.210372,13.0334,0.875612,1.27982,7.11456,1.0976,0.854387,0.0020211,1.27925,0.723267
3.44778,13.3397,0.720441,1.35622,8.14799,1.30614,0.569779,0.0791832,-0.9356610000000001,0.709187
11.3701,13.1376,1.38225,1.68814,10.8818,2.51899,0.596621,0.0308041,-1.7097200000000001,0.822749
5.67569,13.6754,0.600858,1.60122,13.2747,2.14958,0.942203,0.758459,1.7399,0.606775
0.78005,13.6651,0.172091,0.804215,3.4564,0.272342,0.887606,0.7772709999999999,1.65862,0.587855
11.9373,13.707,0.251692,0.780927,2.3055,0.249361,0.534913,0.540886,1.41725,0.831007
8.45302,13.7459,0.292095,0.96902,3.8434,0.476427,0.880314,0.8628530000000001,1.77847,0.767537
1.54105,13.5375,2.17362,2.4303,26.1725,7.51582,0.915798,0.16119399999999998,-1.7782900000000001,0.708961
9.9924,13.5866,1.31366,1.85418,15.1726,3.33773,0.857805,0.187163,1.7294800000000001,0.711853
6.65948,4.41767,1.78241,2.6219,24.5782,9.4373,0.350709,0.854769,0.0901733,0.878684
4.43683,9.76064,0.784475,1.02001,3.55436,0.55566,0.410245,0.267191,1.31389,0.919593
5.33695,0.162603,0.638188,0.735351,2.02694,0.208201,0.64581,0.09136760000000001,-1.1106399999999998,0.838105
6.61951,0.460101,1.27028,1.72898,12.553,2.70627,0.701662,0.5273530000000001,-0.092819,0.748144
5.04286,0.842994,0.947856,1.1004,4.51889,0.697662,0.361306,0.5014569999999999,-1.77821,0.841814
1.97161,12.5405,0.556935,0.65755,1.37969,0.148862,0.362353,0.279622,1.2592400000000001,0.98452
7.82442,6.64783,1.7087,2.67955,25.4205,10.0736,0.466094,0.481736,0.7540789999999999,0.887336
0.216462,8.25623,0.445846,0.43996,0.642522,0.04459,0.66238,0.689521,-0.420223,0.946429
2.2555,2.59141,0.931777,1.18389,6.98211,0.868819,0.868758,0.578094,1.5110599999999998,0.630643
12.2925,4.3798,0.697196,0.751935,1.85845,0.222607,0.493379,0.388403,1.4405299999999999,0.955781
9.88826,6.58548,0.497913,0.422342,0.61497,0.039445,0.332942,0.8136140000000001,0.74653,0.911223
2.28954,7.87286,1.02211,1.22643,5.56454,0.965888,0.237723,0.113246,0.31648499999999996,0.849192
1.77883,0.279263,1.12474,1.12698,4.61241,0.749455,0.606868,0.055764100000000004,1.52067,0.865075
8.49925,1.49292,1.71557,2.39682,24.0068,7.20952,0.605202,0.6974819999999999,1.3154599999999999,0.751773
2.83086,0.896722,1.89526,2.21062,26.9897,5.65641,0.844273,0.481155,-1.67886,0.568826
