CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
1.0886,0.155184,0.09033089999999999,0.562715,1.27174,0.093296,0.891539,0.886376,0.000214763,0.782217
4.61101,0.183023,0.112141,0.638306,1.63393,0.136171,0.861812,0.893779,-0.0107023,0.783383
6.30491,0.490525,0.529359,1.43777,6.91931,1.55619,0.311688,0.814653,-1.72885,0.938563
7.9179,0.188895,0.582114,1.02937,4.07076,0.571095,0.796817,0.34114199999999995,-1.77405,0.817738
10.808,1.03002,1.02455,2.48078,23.0209,7.99396,0.456551,0.473531,-1.40143,0.839852
12.8155,0.90853,0.0918023,0.908059,4.02489,0.392049,0.940131,0.897714,0.220793,0.643611
0.573502,2.11276,1.5193,2.70656,29.1368,10.3812,0.751516,0.137822,1.01918,0.789846
3.92119,3.11083,1.15926,3.39698,50.3488,20.5248,0.485933,0.518953,0.414884,0.720025
8.86893,2.47262,0.562255,2.61745,26.6382,9.38928,0.780556,0.882033,-1.36019,0.807981
6.21094,2.5883,0.533033,1.73886,10.4965,2.75292,0.461945,0.8656149999999999,0.8282609999999999,0.904972
12.7075,3.63755,1.25978,3.64334,49.9877,25.322,0.519288,0.756669,-0.882565,0.834231
1.65055,4.80256,2.02527,3.35822,39.7321,19.8302,0.237082,0.7729309999999999,0.06853189999999999,0.891718
0.337681,4.87975,0.337357,1.285,6.46275,1.11098,0.815519,0.8816809999999999,-0.905162,0.80267
6.58328,4.35673,0.640231,1.319,7.22533,1.20153,0.76848,0.213831,-0.955596,0.756454
7.5391,4.69135,0.442331,0.848038,2.82882,0.319333,0.676728,0.520486,0.9693989999999999,0.798683
9.21376,5.33775,0.293883,1.85195,16.3999,3.32573,0.926482,0.884749,-0.32201300000000005,0.657004
5.59921,6.74051,1.56125,4.1332,64.1511,36.9706,0.261925,0.852903,0.490259,0.836599
1.65732,6.00595,0.326755,1.34521,6.41091,1.27459,0.698392,0.88737,0.147428,0.88677
11.5719,6.9391,0.86665,2.4439,20.1429,7.64273,0.32709,0.7856310000000001,1.62861,0.931524
1.70018,9.97577,1.4897,4.97351,111.712,64.4151,0.623127,0.894167,0.778417,0.695627
