CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
0.738888,0.421991,1.16329,1.77791,13.0214,2.9426,0.757617,0.134489,1.47064,0.762632
3.22281,1.25219,0.883987,3.04917,33.1639,14.8437,0.648723,0.8274079999999999,-0.009559640000000001,0.880736
6.60348,0.137503,0.942938,1.26033,8.56378,1.04821,0.958168,0.229997,-0.0248338,0.582707
7.80669,0.628271,0.195782,1.26321,9.26157,1.05541,0.933703,0.800855,-0.26776099999999997,0.54127
10.7998,0.924015,0.265178,1.84197,16.2303,3.27222,0.951591,0.8990260000000001,0.244029,0.656731
11.841,0.603284,1.39877,1.92993,13.2231,3.76374,0.566646,0.256589,1.73418,0.884905
13.4743,0.625309,0.626646,1.56623,9.13001,2.0117,0.600031,0.347311,-0.7411960000000001,0.844088
5.48412,0.736465,0.926612,1.77591,11.1695,2.93265,0.668305,0.27517600000000003,-1.2808000000000002,0.887068
0.482769,1.89718,0.515741,1.76223,12.2284,2.86542,0.736208,0.897242,-0.883399,0.797822
6.1039,2.14753,0.231013,1.33854,7.23853,1.25572,0.850942,0.8947280000000001,-1.6896799999999998,0.777612
13.1259,2.98785,1.10518,2.77694,28.3799,11.2123,0.555501,0.213534,0.293754,0.853633
8.09843,1.65979,1.63828,3.23728,37.2429,17.764,0.436875,0.544365,-0.595738,0.884031
10.5805,2.54143,1.87603,3.41309,40.3162,20.818,0.575009,0.195195,-0.11093199999999999,0.907747
0.942958,3.59339,1.19429,2.1579,16.5821,5.26128,0.579956,0.493033,1.21576,0.88221
8.46391,4.44155,0.239444,1.85112,16.8789,3.32127,0.95149,0.894164,0.772641,0.637787
12.0666,5.15795,0.460821,2.16798,19.9728,5.33537,0.845139,0.81793,0.673973,0.739302
3.19918,3.97592,1.78809,3.73925,47.9594,27.3748,0.550565,0.254119,-0.581728,0.915893
5.56759,3.99111,0.455027,2.03402,15.7036,4.40618,0.74677,0.828646,-0.8485509999999999,0.827676
0.753953,4.68221,0.252736,1.39499,7.84869,1.42139,0.811154,0.8642409999999999,0.559565,0.778926
10.1187,4.75581,1.19371,2.60499,23.3231,9.25586,0.432609,0.6419440000000001,-1.68081,0.914063
6.63759,4.65299,2.13379,3.68581,49.1368,26.2179,0.650717,0.482047,-1.7253100000000001,0.868578
4.48292,6.22868,0.577735,2.38121,22.9732,7.06957,0.783144,0.7773,-0.10806900000000001,0.7754
13.4568,7.61179,0.569335,2.16993,20.4731,5.34977,0.914011,0.8790260000000001,-0.883427,0.722534
1.15372,6.60711,0.571535,2.17299,17.9466,5.37241,0.64665,0.864366,-0.7032590000000001,0.826575
6.57812,7.74095,0.945769,2.73248,28.4744,10.6824,0.548754,0.496584,1.07442,0.823774
10.9614,8.09918,0.494566,2.67455,29.481,10.0173,0.906152,0.889116,0.6905939999999999,0.762272
8.68858,7.31574,1.86932,3.40965,39.793,20.7553,0.327019,0.78226,0.436122,0.917832
0.276771,8.19422,0.993403,1.62836,11.2534,2.26071,0.85488,0.18692699999999998,-0.954525,0.740224
2.77243,9.38309,0.964017,3.43388,52.7305,21.2008,0.807656,0.8658589999999999,-0.0730015,0.702518
8.8863,9.02224,0.392401,1.83486,12.644,3.23449,0.764129,0.8341240000000001,0.576334,0.836511
6.754,10.6974,0.961436,3.46735,48.7891,21.8268,0.62671,0.820639,-1.50162,0.774143
12.9063,9.91689,0.257019,0.903802,2.73267,0.386561,0.476101,0.8846980000000001,1.479,0.939093
10.1875,10.6006,0.261617,1.3723,7.56757,1.35314,0.809135,0.874211,0.129965,0.781787
12.3245,11.4009,0.127011,1.16858,6.91821,0.835548,0.954475,0.896294,-0.988827,0.620113
13.4622,11.0489,0.567282,1.47443,7.99525,1.6783,0.448923,0.804619,0.869146,0.854211
0.880245,11.5476,0.198317,1.33561,7.60232,1.24749,0.930949,0.8743219999999999,-1.5681800000000001,0.737162
3.79964,11.7223,0.669757,2.43406,23.8926,7.5508,0.653664,0.7946500000000001,-1.30808,0.779022
9.08063,11.4902,1.09799,1.90269,13.4099,3.60665,0.729735,0.278644,-1.30406,0.848127
11.1988,12.2901,1.81772,3.4319,40.4874,21.1641,0.29847,0.262894,0.651298,0.913898
13.33,13.0556,0.7622,1.96165,14.0074,3.95239,0.506007,0.850014,0.9964700000000001,0.863042
6.23028,12.8754,1.65002,2.90383,31.575,12.8207,0.715242,0.38750100000000004,-1.28268,0.838971
0.913344,13.1794,0.700601,2.07448,15.6211,4.6744,0.45475,0.732728,-1.7130400000000001,0.865478
9.26297,13.278,0.439352,1.78198,12.0301,2.96283,0.725319,0.880402,-0.0228425,0.829251
11.545,13.5269,0.341539,1.40612,7.81102,1.45569,0.84259,0.8945050000000001,-0.058407299999999995,0.795223
4.02078,13.5788,1.1804,2.06413,18.6362,4.60478,0.881387,0.6747709999999999,1.7868700000000002,0.718233
3.07237,7.21201,1.50359,2.5628,22.0627,8.81339,0.401165,0.49607999999999997,-0.715726,0.935236
0.235161,5.27873,1.2546,1.31686,6.94504,1.1957,0.819473,0.119921,-0.8852490000000001,0.784435
2.67527,12.521,1.4812,2.03344,13.7684,4.40241,0.514735,0.242029,-0.39130699999999996,0.943467
11.7592,7.31287,1.94005,2.71019,25.0704,10.4231,0.498797,0.558094,1.60601,0.920422
12.7533,10.0578,2.25952,3.34957,41.7898,19.6772,0.613776,0.796638,0.677665,0.843443
0.790084,11.3566,2.07887,2.76076,28.5097,11.0175,0.620191,0.19328900000000002,-1.26061,0.839873
10.0884,0.44392,1.48994,1.63932,9.49236,2.30668,0.553412,0.355839,-1.54471,0.889407
5.73515,2.18314,2.16614,2.59446,22.3495,9.14404,0.352173,0.17324799999999999,-0.759083,0.946182
9.76525,10.2339,2.94716,3.1476,35.564,16.3282,0.749987,0.240944,1.0055,0.875182
6.51653,0.790824,1.44071,0.920339,2.76941,0.40817,0.540822,0.125729,-1.06634,0.960853
12.9792,5.15278,2.65438,2.9795,30.5403,13.8493,0.556903,0.0805752,-0.031206,0.913195
5.2364,7.00717,2.3687,2.42663,19.6724,7.48186,0.476367,0.451269,-0.505682,0.940372
8.29047,12.7742,2.36125,2.53361,21.4367,8.51566,0.536603,0.40253300000000003,-1.13186,0.940745
12.9606,1.43499,2.02282,1.71403,9.86253,2.63664,0.596898,0.398914,1.3793199999999999,0.935829
1.61447,13.5557,2.13992,1.55871,8.96209,1.98288,0.618339,0.742594,-0.029973700000000002,0.851673
