name,mean,std,max,fractal_dimension,volume_fraction
09_000_000_group_2,1.301746322,0.630746841,3.354095221,2.76440295,0.526855
09_000_050_group_1,1.358216976,0.680637933,3.642618418,2.760728026,0.520337
09_000_050_group_2,1.320906946,0.631046134,3.354095221,2.761725881,0.537094
09_000_XXX_group_1,1.552950133,1.007970688,4.422670841,2.743255986,0.513614
09_000_XXX_group_2,1.326885343,0.711008552,4.145903111,2.764055161,0.520101
09_002_XXX_group_2,1.302523362,0.656773483,4.218541145,2.767652971,0.527667
09_004_XXX_group_1,1.388752351,0.725328428,3.867066622,2.759674288,0.535143
09_004_XXX_group_2,1.373945349,0.703128405,4.145903111,2.759415171,0.546804
09_006_XXX_group_1,1.416228318,0.728521766,3.759126902,2.753692056,0.553474
09_006_XXX_group_2,1.346479815,0.622604111,3.219935656,2.759708608,0.55565
09_050_000_group_1,1.4958101,0.928693243,4.449180603,2.749195379,0.525791
09_050_000_group_2,1.335856801,0.698282839,4.138805866,2.762442629,0.535636
09_050_050_group_2,1.351437933,0.70199104,4.138805866,2.759589698,0.545281
09_100_000_group_1,1.498992822,0.918278673,4.422670841,2.747681338,0.532333
09_100_000_group_2,1.347174803,0.703726595,4.138805866,2.762702324,0.535369
10_000_000_group_1,1.542562883,0.66016738,4.283090591,2.738340915,0.649685
10_000_050_group_1,1.51830493,0.573439788,3.186282158,2.74093703,0.657836
10_000_050_group_2,1.509105445,0.601621751,3.28023982,2.737887626,0.664203
10_000_XXX_group_1,1.531944125,0.66089561,3.639927149,2.741082178,0.637821
10_000_XXX_group_2,1.482543884,0.560830777,3.005867958,2.743269048,0.642902
10_002_XXX_group_1,1.504694537,0.559084214,2.939941168,2.741890603,0.653349
10_002_XXX_group_2,1.56480103,0.718621749,4.457982063,2.731783831,0.660768
10_004_XXX_group_1,1.523358265,0.659392958,3.696032047,2.743106482,0.632229
10_004_XXX_group_2,1.460182291,0.552818436,2.956560373,2.746941751,0.642374
10_006_XXX_group_1,1.566915409,0.633924862,3.682751656,2.732090261,0.661628
10_006_XXX_group_2,1.515305568,0.603239049,3.28023982,2.736650524,0.666333
10_050_000_group_1,1.537911036,0.655003647,3.639927149,2.740089697,0.646746
10_050_000_group_2,1.496107581,0.594419478,3.383185387,2.742455721,0.653327
10_050_050_group_1,1.546901572,0.644356843,3.698682785,2.737744812,0.656994
10_050_050_group_2,1.497832368,0.59700513,3.271264791,2.740844207,0.661619
10_100_000_group_1,1.520191152,0.656093897,3.639927149,2.743053022,0.634588
10_100_000_group_2,1.488065158,0.595788112,3.872131586,2.743841512,0.642313
10_100_050_group_2,1.484300767,0.587406788,3.588410616,2.743623248,0.650441
11_000_000_group_1,1.985119424,0.668775125,4.050252438,2.655061527,0.789578
11_000_000_group_2,1.977971698,0.612301641,3.170866966,2.649909661,0.795275
11_000_050_group_1,1.945166418,0.668686743,3.884764671,2.660689877,0.779322
11_000_050_group_2,1.937206095,0.619471931,3.136687756,2.65613223,0.793794
11_000_XXX_group_2,1.960621462,0.608455173,3.412028074,2.652189743,0.791035
11_002_XXX_group_1,1.959387082,0.675981362,3.85183239,2.655576923,0.783812
11_004_XXX_group_1,1.93358738,0.611597741,3.443475962,2.662948213,0.773935
11_006_XXX_group_1,1.914540597,0.643469987,3.544446468,2.666433487,0.774345
11_006_XXX_group_2,1.924824542,0.616351948,3.232086182,2.660622476,0.787927
11_050_000_group_1,1.944295024,0.684846804,5.072846889,2.66444921,0.786287
11_050_050_group_1,1.899091533,0.62329889,3.295142889,2.670137062,0.776605
11_050_050_group_2,1.950181994,0.629699846,3.295142889,2.654612903,0.793318
12_000_000_group_1,1.91455008,0.618432712,3.437779427,2.658543136,0.813404
12_000_000_group_2,1.985865073,0.689123794,5.078638554,2.646981674,0.818728
12_000_050_group_1,1.936257748,0.641585615,3.637234211,2.657702098,0.81205
12_000_050_group_2,1.952002237,0.672523112,4.869810104,2.649168382,0.817145
12_000_100_group_1,1.909113457,0.619393337,3.432073355,2.66390169,0.803944
12_000_XXX_group_2,1.979493929,0.650354718,3.588410378,2.643611733,0.821488
12_002_XXX_group_1,1.917109142,0.63017207,3.577469587,2.662063633,0.806673
12_002_XXX_group_2,1.97817514,0.702517955,4.393771648,2.649968668,0.813257
12_004_XXX_group_2,1.953472549,0.641984973,3.533369541,2.646129963,0.822562
12_006_XXX_group_1,1.934173652,0.600373638,3.149159193,2.65621467,0.806089
12_006_XXX_group_2,1.939999884,0.615748211,3.201623678,2.655268333,0.813117
12_050_000_group_2,1.964883213,0.643930471,3.454840422,2.646275004,0.82076
12_050_050_group_1,1.970224036,0.638872368,3.735591173,2.648753315,0.818482
12_050_100_group_1,1.945596939,0.614088289,3.417767763,2.655248349,0.812333
12_050_100_group_2,1.937384894,0.634391112,3.547209978,2.649292678,0.816585
12_100_000_group_1,1.983900899,0.638142106,3.779924393,2.644175488,0.821812
12_100_000_group_2,1.988686654,0.643519796,3.533369541,2.639997741,0.824766
12_100_050_group_1,2.003850448,0.652270307,3.315895081,2.64227983,0.822744
12_100_050_group_2,1.953882517,0.656978698,3.533369541,2.645858053,0.821643
12_100_100_group_1,1.979712097,0.627125636,3.339454174,2.647499027,0.81675
12_100_100_group_2,1.966049516,0.657544816,3.547209978,2.650418271,0.819026
13_000_000_group_1,1.735867779,1.183721365,5.059305668,2.700476464,0.44563
13_000_000_group_2,1.74153388,1.201082376,5.059305668,2.706368892,0.407773
13_000_050_group_1,1.945235174,1.477198544,5.883214951,2.693941705,0.465975
13_000_050_group_2,2.345481873,2.091017564,8.130692482,2.695074022,0.456628
13_000_100_group_1,1.94310006,1.295618626,5.262480259,2.689873725,0.489492
13_000_100_group_2,2.318219971,1.778243469,6.560479641,2.677713207,0.485705
13_000_150_group_1,1.819435534,1.118478213,4.473343372,2.697708101,0.487817
13_000_150_group_2,2.219455044,1.717293652,6.560479641,2.691070545,0.498814
13_000_200_group_1,2.048539104,1.436859863,5.738177776,2.6940811,0.500565
13_000_200_group_2,2.296268857,1.73673143,7.190461159,2.685260561,0.507128
